target,added_donor,n_subset_edges,mean_auc_delta,min_auc_delta,max_auc_delta
covid_political,election2020,7,0.010838124338624347,-0.1077449814814816,0.1006122037037036
covid_political,facebook_page_reference,7,0.0020216507936508137,-0.08762509259259255,0.08377281481481458
covid_political,twibot20,7,0.05595733333333335,-0.02037412962962959,0.20064418518518534
covid_political,ukr_rus_suspended,7,0.06799553439153441,-0.03142411111111121,0.16132607407407407
election2020,covid_political,7,-0.0012654285714286395,-0.004730000000000123,0.0047360000000000735
election2020,facebook_page_reference,7,-0.0008934285714285688,-0.00907200000000008,0.0020160000000000178
election2020,twibot20,7,0.0011951428571428074,-0.0011520000000000419,0.006784000000000012
election2020,ukr_rus_suspended,7,-0.00018942857142859433,-0.003940000000000166,0.0033760000000000456
facebook_page_reference,covid_political,7,-0.00559471428571431,-0.03256300000000001,0.037443374999999945
facebook_page_reference,election2020,7,-0.01559805357142858,-0.048431749999999996,0.02157462499999996
facebook_page_reference,twibot20,7,0.07130703571428568,0.04118537499999997,0.09861587499999991
facebook_page_reference,ukr_rus_suspended,7,-0.044603285714285686,-0.08320574999999997,-0.017499874999999943
ukr_rus_suspended,covid_political,7,-0.007713428571428593,-0.028620000000000034,0.014437999999999951
ukr_rus_suspended,election2020,7,-0.0024979999999999764,-0.016737999999999864,0.016477999999999993
ukr_rus_suspended,facebook_page_reference,7,-0.002910857142857096,-0.02719400000000005,0.01642400000000005
ukr_rus_suspended,twibot20,7,-0.004666285714285726,-0.040447999999999984,0.017490000000000006
twibot20,covid_political,7,0.0622232658730159,-0.00937809722222227,0.11203933333333327
twibot20,election2020,7,0.05436651785714281,0.03164722222222227,0.08133516666666663
twibot20,facebook_page_reference,7,-0.007432119047619011,-0.0775112361111111,0.07195916666666669
twibot20,ukr_rus_suspended,7,0.028887057539682588,0.012818180555555503,0.0661814305555557
