added_donor,target,historical_single_source_auc,mean_marginal_auc_delta_1000
covid_political,election2020,0.78333,0.0001417142857142054
covid_political,facebook_page_reference,0.742021494253,0.002582749999999983
covid_political,ukr_rus_suspended,0.551013,0.007317714285714284
covid_political,twibot20,0.737411,0.02260177182539686
election2020,covid_political,0.787224,0.04787925925925924
election2020,facebook_page_reference,0.685769369253,-0.005268464285714226
election2020,ukr_rus_suspended,0.562676,0.005583999999999962
election2020,twibot20,0.709563,0.004002831349206363
facebook_page_reference,covid_political,0.804823169875,-0.011441055555555524
facebook_page_reference,election2020,0.775042625287,0.0006060000000000272
facebook_page_reference,ukr_rus_suspended,0.65185645977,-0.006929142857142856
facebook_page_reference,twibot20,0.835157832631,-0.023055805555555513
ukr_rus_suspended,covid_political,0.732532,0.032635161375661456
ukr_rus_suspended,election2020,0.727516,0.00020885714285712176
ukr_rus_suspended,facebook_page_reference,0.855910643966,-0.026116857142857084
ukr_rus_suspended,twibot20,0.76474,0.06643898214285716
twibot20,covid_political,0.843136,0.08547792063492073
twibot20,election2020,0.802463,0.002859142857142854
twibot20,facebook_page_reference,0.954078383621,0.058873321428571414
twibot20,ukr_rus_suspended,0.711454,0.0031291428571428937
