training_steps,scope,target,mixture_size,n,roc_auc,accuracy,f1
500,macro,all,1,20,0.7100588039351852,0.6716583333333334,0.6552661725865856
500,macro,all,2,30,0.7289958966049382,0.7012555555555555,0.6831752437069398
500,macro,all,3,20,0.7376391125,0.707825,0.6908365629464149
500,macro,all,4,5,0.7463975083333334,0.7120166666666666,0.690499428101401
500,target,covid_political,1,4,0.8148899120370371,0.69075,0.5883548163621422
500,target,covid_political,2,6,0.8950962932098766,0.8293055555555555,0.7242933483124978
500,target,covid_political,3,4,0.8904867083333334,0.8240625,0.7147294442409436
500,target,covid_political,4,1,0.9031184444444446,0.83025,0.7193054981397271
500,target,election2020,1,4,0.979695,0.97675,0.9770784939992256
500,target,election2020,2,6,0.9789933333333333,0.9778333333333333,0.9781002619340898
500,target,election2020,3,4,0.9794535,0.98125,0.981414267384321
500,target,election2020,4,1,0.9781599999999999,0.973,0.9734513274336283
500,target,facebook_page_reference,1,4,0.6615984687500001,0.6153125,0.6189522513505137
500,target,facebook_page_reference,2,6,0.6539660833333333,0.612375,0.6128634152846831
500,target,facebook_page_reference,3,4,0.6662278125,0.6175625,0.6179928349241809
500,target,facebook_page_reference,4,1,0.661984,0.61025,0.613822145157295
500,target,ukr_rus_suspended,1,4,0.502329,0.5055000000000001,0.5106120492078055
500,target,ukr_rus_suspended,2,6,0.4925866666666667,0.4955,0.4959700790914102
500,target,ukr_rus_suspended,3,4,0.49404950000000003,0.4965,0.4998971528512388
500,target,ukr_rus_suspended,4,1,0.487758,0.495,0.48938321536905965
500,target,twibot20,1,4,0.5917816388888889,0.5699791666666667,0.5813332520132408
500,target,twibot20,2,6,0.6243371064814814,0.5912638888888889,0.6046491139120183
500,target,twibot20,3,4,0.6579780416666667,0.61975,0.6401491153313904
500,target,twibot20,4,1,0.7009670972222223,0.6515833333333333,0.6565349544072948
750,macro,all,1,20,0.7066707178240741,0.6604875,0.6443787631396733
750,macro,all,2,30,0.7297356699074073,0.7024111111111111,0.68325511868144
750,macro,all,3,20,0.7383465199074074,0.707425,0.6877233002182014
750,macro,all,4,5,0.7421315157407408,0.7145166666666667,0.6959778834030564
750,target,covid_political,1,4,0.8223202870370371,0.6754791666666666,0.5777031062558746
750,target,covid_political,2,6,0.9083379259259259,0.8322361111111111,0.7276434086780114
750,target,covid_political,3,4,0.9005187175925925,0.8270416666666667,0.717551629612896
750,target,covid_political,4,1,0.9101949259259259,0.8619166666666667,0.7631842218093469
750,target,election2020,1,4,0.978817,0.9652499999999999,0.9664226470694682
750,target,election2020,2,6,0.9787603333333333,0.9793333333333333,0.979572601562717
750,target,election2020,3,4,0.9806465,0.981,0.9811615631529071
750,target,election2020,4,1,0.9796880000000001,0.98,0.9801980198019802
750,target,facebook_page_reference,1,4,0.66783296875,0.6155625,0.6173822880075541
750,target,facebook_page_reference,2,6,0.6729138958333334,0.624125,0.6237359299429109
750,target,facebook_page_reference,3,4,0.68602209375,0.6303125,0.62896618233335
750,target,facebook_page_reference,4,1,0.6842778749999999,0.63175,0.6318420394901275
750,target,ukr_rus_suspended,1,4,0.4948055,0.4935,0.5005920201580002
750,target,ukr_rus_suspended,2,6,0.4931423333333333,0.5013333333333333,0.5039915178222474
750,target,ukr_rus_suspended,3,4,0.4931725,0.50075,0.4996651091344087
750,target,ukr_rus_suspended,4,1,0.498632,0.497,0.5073457394711067
750,target,twibot20,1,4,0.5695778333333333,0.5526458333333333,0.5597937542074695
750,target,twibot20,2,6,0.5955238611111111,0.5750277777777778,0.581332135401313
750,target,twibot20,3,4,0.6313727881944444,0.5980208333333333,0.611272016857445
750,target,twibot20,4,1,0.6378647777777777,0.6019166666666667,0.597319396442721
1000,macro,all,1,20,0.7060827113425926,0.6665958333333333,0.6516798019398933
1000,macro,all,2,30,0.7239195791666667,0.6889805555555556,0.6711223428065883
1000,macro,all,3,20,0.7321870949074074,0.7020833333333333,0.6859330107250972
1000,macro,all,4,5,0.7475084796296296,0.7126,0.6971274024574518
1000,target,covid_political,1,4,0.824479824074074,0.6966666666666667,0.6118080347806388
1000,target,covid_political,2,6,0.8915150555555555,0.7818194444444444,0.6780773946131163
1000,target,covid_political,3,4,0.9114544537037037,0.8344583333333333,0.7269705166719297
1000,target,covid_political,4,1,0.9209953148148149,0.8395833333333333,0.7389830508474576
1000,target,election2020,1,4,0.9773045,0.9704999999999999,0.9711266874494504
1000,target,election2020,2,6,0.97919,0.9786666666666667,0.9789274606854944
1000,target,election2020,3,4,0.9804824999999999,0.98175,0.9818999948470575
1000,target,election2020,4,1,0.9776259999999999,0.982,0.9821428571428571
1000,target,facebook_page_reference,1,4,0.6650704999999999,0.61625,0.6180913129205425
1000,target,facebook_page_reference,2,6,0.6904521041666667,0.6352083333333334,0.6347722096219102
1000,target,facebook_page_reference,3,4,0.6809570312500001,0.626875,0.6274696289428534
1000,target,facebook_page_reference,4,1,0.6859212499999999,0.6265,0.625
1000,target,ukr_rus_suspended,1,4,0.491223,0.49724999999999997,0.5011011701726249
1000,target,ukr_rus_suspended,2,6,0.48743233333333336,0.49183333333333334,0.4986658731981241
1000,target,ukr_rus_suspended,3,4,0.4945315,0.499,0.5022362624144064
1000,target,ukr_rus_suspended,4,1,0.500534,0.507,0.5055165496489469
1000,target,twibot20,1,4,0.5723357326388889,0.5523125,0.5562718043762098
1000,target,twibot20,2,6,0.5710084027777778,0.557375,0.5651687759142966
1000,target,twibot20,3,4,0.5935099895833333,0.5683333333333334,0.5910886507492389
1000,target,twibot20,4,1,0.6524658333333334,0.6079166666666667,0.6339945546479969
