order,final_heldout_target,series,source,entry_rung,rung,auc
A,cp_hk_twitter,mixture,mixture,,1,0.724
A,cp_hk_twitter,mixture,mixture,,2,0.726
A,cp_hk_twitter,mixture,mixture,,3,0.72
A,cp_hk_twitter,mixture,mixture,,4,0.7235
A,cp_hk_twitter,mixture,mixture,,5,0.7261
A,cp_hk_twitter,mixture,mixture,,6,0.7239
A,cp_hk_twitter,mixture,mixture,,7,0.7267
A,cp_hk_twitter,constituent,ukr_rus_twitter,1,1,0.714
A,cp_hk_twitter,constituent,ukr_rus_twitter,1,2,0.714
A,cp_hk_twitter,constituent,ukr_rus_twitter,1,3,0.714
A,cp_hk_twitter,constituent,ukr_rus_twitter,1,4,0.714
A,cp_hk_twitter,constituent,ukr_rus_twitter,1,5,0.714
A,cp_hk_twitter,constituent,ukr_rus_twitter,1,6,0.714
A,cp_hk_twitter,constituent,ukr_rus_twitter,1,7,0.714
A,cp_hk_twitter,constituent,covid19_twitter,2,2,0.7196
A,cp_hk_twitter,constituent,covid19_twitter,2,3,0.7196
A,cp_hk_twitter,constituent,covid19_twitter,2,4,0.7196
A,cp_hk_twitter,constituent,covid19_twitter,2,5,0.7196
A,cp_hk_twitter,constituent,covid19_twitter,2,6,0.7196
A,cp_hk_twitter,constituent,covid19_twitter,2,7,0.7196
A,cp_hk_twitter,constituent,midterm,3,3,0.6256
A,cp_hk_twitter,constituent,midterm,3,4,0.6256
A,cp_hk_twitter,constituent,midterm,3,5,0.6256
A,cp_hk_twitter,constituent,midterm,3,6,0.6256
A,cp_hk_twitter,constituent,midterm,3,7,0.6256
A,cp_hk_twitter,constituent,covid_political,4,4,0.5444
A,cp_hk_twitter,constituent,covid_political,4,5,0.5444
A,cp_hk_twitter,constituent,covid_political,4,6,0.5444
A,cp_hk_twitter,constituent,covid_political,4,7,0.5444
A,cp_hk_twitter,constituent,election2020,5,5,0.5475
A,cp_hk_twitter,constituent,election2020,5,6,0.5475
A,cp_hk_twitter,constituent,election2020,5,7,0.5475
A,cp_hk_twitter,constituent,ukr_rus_suspended,6,6,0.6225
A,cp_hk_twitter,constituent,ukr_rus_suspended,6,7,0.6225
A,cp_hk_twitter,constituent,twibot20,7,7,0.6895
B,election2020,mixture,mixture,,1,0.8345
B,election2020,mixture,mixture,,2,0.828
B,election2020,mixture,mixture,,3,0.8262687172413794
B,election2020,mixture,mixture,,4,0.8226825218390805
B,election2020,mixture,mixture,,5,0.8316414873563218
B,election2020,mixture,mixture,,6,0.827781832183908
B,election2020,mixture,mixture,,7,0.8400826022988507
B,election2020,constituent,covid19_twitter,1,1,0.8345
B,election2020,constituent,covid19_twitter,1,2,0.8345
B,election2020,constituent,covid19_twitter,1,3,0.8345
B,election2020,constituent,covid19_twitter,1,4,0.8345
B,election2020,constituent,covid19_twitter,1,5,0.8345
B,election2020,constituent,covid19_twitter,1,6,0.8345
B,election2020,constituent,covid19_twitter,1,7,0.8345
B,election2020,constituent,ukr_rus_twitter,2,2,0.8262
B,election2020,constituent,ukr_rus_twitter,2,3,0.8262
B,election2020,constituent,ukr_rus_twitter,2,4,0.8262
B,election2020,constituent,ukr_rus_twitter,2,5,0.8262
B,election2020,constituent,ukr_rus_twitter,2,6,0.8262
B,election2020,constituent,ukr_rus_twitter,2,7,0.8262
B,election2020,constituent,twibot20,3,3,0.8025
B,election2020,constituent,twibot20,3,4,0.8025
B,election2020,constituent,twibot20,3,5,0.8025
B,election2020,constituent,twibot20,3,6,0.8025
B,election2020,constituent,twibot20,3,7,0.8025
B,election2020,constituent,midterm,4,4,0.8047
B,election2020,constituent,midterm,4,5,0.8047
B,election2020,constituent,midterm,4,6,0.8047
B,election2020,constituent,midterm,4,7,0.8047
B,election2020,constituent,ukr_rus_suspended,5,5,0.7275
B,election2020,constituent,ukr_rus_suspended,5,6,0.7275
B,election2020,constituent,ukr_rus_suspended,5,7,0.7275
B,election2020,constituent,cp_hk_twitter,6,6,0.6412
B,election2020,constituent,cp_hk_twitter,6,7,0.6412
B,election2020,constituent,covid_political,7,7,0.7833
C,covid19_twitter,mixture,mixture,,1,0.6551
C,covid19_twitter,mixture,mixture,,2,0.7322287988825033
C,covid19_twitter,mixture,mixture,,3,0.832790019476373
C,covid19_twitter,mixture,mixture,,4,0.8927544834610472
C,covid19_twitter,mixture,mixture,,5,0.9308379506226054
C,covid19_twitter,mixture,mixture,,6,0.9559441030970623
C,covid19_twitter,mixture,mixture,,7,0.968881610823755
C,covid19_twitter,constituent,election2020,1,1,0.6551
C,covid19_twitter,constituent,election2020,1,2,0.6551
C,covid19_twitter,constituent,election2020,1,3,0.6551
C,covid19_twitter,constituent,election2020,1,4,0.6551
C,covid19_twitter,constituent,election2020,1,5,0.6551
C,covid19_twitter,constituent,election2020,1,6,0.6551
C,covid19_twitter,constituent,election2020,1,7,0.6551
C,covid19_twitter,constituent,covid_political,2,2,0.6985
C,covid19_twitter,constituent,covid_political,2,3,0.6985
C,covid19_twitter,constituent,covid_political,2,4,0.6985
C,covid19_twitter,constituent,covid_political,2,5,0.6985
C,covid19_twitter,constituent,covid_political,2,6,0.6985
C,covid19_twitter,constituent,covid_political,2,7,0.6985
C,covid19_twitter,constituent,cp_hk_twitter,3,3,0.7579
C,covid19_twitter,constituent,cp_hk_twitter,3,4,0.7579
C,covid19_twitter,constituent,cp_hk_twitter,3,5,0.7579
C,covid19_twitter,constituent,cp_hk_twitter,3,6,0.7579
C,covid19_twitter,constituent,cp_hk_twitter,3,7,0.7579
C,covid19_twitter,constituent,ukr_rus_suspended,4,4,0.8307
C,covid19_twitter,constituent,ukr_rus_suspended,4,5,0.8307
C,covid19_twitter,constituent,ukr_rus_suspended,4,6,0.8307
C,covid19_twitter,constituent,ukr_rus_suspended,4,7,0.8307
C,covid19_twitter,constituent,midterm,5,5,0.879
C,covid19_twitter,constituent,midterm,5,6,0.879
C,covid19_twitter,constituent,midterm,5,7,0.879
C,covid19_twitter,constituent,twibot20,6,6,0.9473
C,covid19_twitter,constituent,twibot20,6,7,0.9473
C,covid19_twitter,constituent,ukr_rus_twitter,7,7,0.973
