order,rung,n_sources,sources,target,mixture_auc,best_constituent_source,best_constituent_auc,mixture_minus_best_constituent
A,1,1,ukr_rus,covid19_twitter,0.973,ukr_rus_twitter,0.973,0.0
A,1,1,ukr_rus,twibot20,0.921,ukr_rus_twitter,0.9218,-0.0007999999999999119
A,1,1,ukr_rus,midterm,0.874,ukr_rus_twitter,0.8811,-0.007099999999999995
A,1,1,ukr_rus,covid_political,0.849,ukr_rus_twitter,0.8394,0.009599999999999942
A,1,1,ukr_rus,election2020,0.828,ukr_rus_twitter,0.8262,0.0017999999999999128
A,1,1,ukr_rus,ukr_rus_suspended,0.771,ukr_rus_twitter,0.7894,-0.018399999999999972
A,1,1,ukr_rus,cp_hk_twitter,0.724,ukr_rus_twitter,0.714,0.010000000000000009
A,2,2,ukr_rus covid,twibot20,0.925,covid19_twitter,0.9258,-0.0007999999999999119
A,2,2,ukr_rus covid,midterm,0.885,covid19_twitter,0.8842,0.0008000000000000229
A,2,2,ukr_rus covid,covid_political,0.843,covid19_twitter,0.8498,-0.006800000000000028
A,2,2,ukr_rus covid,election2020,0.828,covid19_twitter,0.8345,-0.006500000000000061
A,2,2,ukr_rus covid,ukr_rus_suspended,0.775,ukr_rus_twitter,0.7894,-0.014399999999999968
A,2,2,ukr_rus covid,cp_hk_twitter,0.726,covid19_twitter,0.7196,0.006399999999999961
A,3,3,ukr_rus covid midterm,twibot20,0.927,covid19_twitter,0.9258,0.0012000000000000899
A,3,3,ukr_rus covid midterm,covid_political,0.83,covid19_twitter,0.8498,-0.01980000000000004
A,3,3,ukr_rus covid midterm,election2020,0.815,covid19_twitter,0.8345,-0.019500000000000073
A,3,3,ukr_rus covid midterm,ukr_rus_suspended,0.777,ukr_rus_twitter,0.7894,-0.012399999999999967
A,3,3,ukr_rus covid midterm,cp_hk_twitter,0.72,covid19_twitter,0.7196,0.00039999999999995595
A,4,4,ukr_rus covid midterm covid_political,twibot20,0.9234,covid19_twitter,0.9258,-0.0023999999999999577
A,4,4,ukr_rus covid midterm covid_political,election2020,0.8297,covid19_twitter,0.8345,-0.0048000000000000265
A,4,4,ukr_rus covid midterm covid_political,ukr_rus_suspended,0.7768,ukr_rus_twitter,0.7894,-0.012599999999999945
A,4,4,ukr_rus covid midterm covid_political,cp_hk_twitter,0.7235,covid19_twitter,0.7196,0.0039000000000000146
A,5,5,ukr_rus covid midterm covid_political election2020,twibot20,0.9254,covid19_twitter,0.9258,-0.00039999999999995595
A,5,5,ukr_rus covid midterm covid_political election2020,ukr_rus_suspended,0.7693,ukr_rus_twitter,0.7894,-0.020100000000000007
A,5,5,ukr_rus covid midterm covid_political election2020,cp_hk_twitter,0.7261,covid19_twitter,0.7196,0.00649999999999995
A,6,6,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,twibot20,0.9242,covid19_twitter,0.9258,-0.0015999999999999348
A,6,6,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,cp_hk_twitter,0.7239,covid19_twitter,0.7196,0.0042999999999999705
A,7,7,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,cp_hk_twitter,0.7267,covid19_twitter,0.7196,0.007099999999999995
B,1,1,covid,ukr_rus_twitter,0.9264,covid19_twitter,0.9264,0.0
B,1,1,covid,twibot20,0.9258,covid19_twitter,0.9258,0.0
B,1,1,covid,midterm,0.8842,covid19_twitter,0.8842,0.0
B,1,1,covid,covid_political,0.8498,covid19_twitter,0.8498,0.0
B,1,1,covid,election2020,0.8345,covid19_twitter,0.8345,0.0
B,1,1,covid,ukr_rus_suspended,0.7861,covid19_twitter,0.7861,0.0
B,1,1,covid,cp_hk_twitter,0.7196,covid19_twitter,0.7196,0.0
B,2,2,covid ukr_rus,twibot20,0.925,covid19_twitter,0.9258,-0.0007999999999999119
B,2,2,covid ukr_rus,midterm,0.885,covid19_twitter,0.8842,0.0008000000000000229
B,2,2,covid ukr_rus,covid_political,0.843,covid19_twitter,0.8498,-0.006800000000000028
B,2,2,covid ukr_rus,election2020,0.828,covid19_twitter,0.8345,-0.006500000000000061
B,2,2,covid ukr_rus,ukr_rus_suspended,0.775,ukr_rus_twitter,0.7894,-0.014399999999999968
B,2,2,covid ukr_rus,cp_hk_twitter,0.726,covid19_twitter,0.7196,0.006399999999999961
B,3,3,covid ukr_rus twibot20,midterm,0.8828455995530013,covid19_twitter,0.8842,-0.0013544004469986382
B,3,3,covid ukr_rus twibot20,covid_political,0.8481246410600255,covid19_twitter,0.8498,-0.0016753589399745028
B,3,3,covid ukr_rus twibot20,election2020,0.8262687172413794,covid19_twitter,0.8345,-0.008231282758620617
B,3,3,covid ukr_rus twibot20,ukr_rus_suspended,0.7623589471264366,ukr_rus_twitter,0.7894,-0.027041052873563398
B,3,3,covid ukr_rus twibot20,cp_hk_twitter,0.7316832084770114,covid19_twitter,0.7196,0.012083208477011387
B,4,4,covid ukr_rus twibot20 midterm,covid_political,0.8419349837324395,covid19_twitter,0.8498,-0.007865016267560532
B,4,4,covid ukr_rus twibot20 midterm,election2020,0.8226825218390805,covid19_twitter,0.8345,-0.011817478160919492
B,4,4,covid ukr_rus twibot20 midterm,ukr_rus_suspended,0.7756944183908047,ukr_rus_twitter,0.7894,-0.013705581609195328
B,4,4,covid ukr_rus twibot20 midterm,cp_hk_twitter,0.720369180172414,covid19_twitter,0.7196,0.0007691801724140079
B,5,5,covid ukr_rus twibot20 midterm ukr_rus_suspended,covid_political,0.8518825089559386,covid19_twitter,0.8498,0.0020825089559386445
B,5,5,covid ukr_rus twibot20 midterm ukr_rus_suspended,election2020,0.8316414873563218,covid19_twitter,0.8345,-0.0028585126436782016
B,5,5,covid ukr_rus twibot20 midterm ukr_rus_suspended,cp_hk_twitter,0.7183858511494251,covid19_twitter,0.7196,-0.0012141488505749143
B,6,6,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk,covid_political,0.8455864786079182,covid19_twitter,0.8498,-0.004213521392081754
B,6,6,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk,election2020,0.827781832183908,covid19_twitter,0.8345,-0.006718167816092024
B,7,7,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk covid_political,election2020,0.8400826022988507,covid19_twitter,0.8345,0.0055826022988506585
C,1,1,election2020,covid19_twitter,0.6551,election2020,0.6551,0.0
C,1,1,election2020,ukr_rus_twitter,0.6018,election2020,0.6018,0.0
C,1,1,election2020,twibot20,0.7096,election2020,0.7096,0.0
C,1,1,election2020,midterm,0.6804,election2020,0.6804,0.0
C,1,1,election2020,covid_political,0.7872,election2020,0.7872,0.0
C,1,1,election2020,ukr_rus_suspended,0.5627,election2020,0.5627,0.0
C,1,1,election2020,cp_hk_twitter,0.5475,election2020,0.5475,0.0
C,2,2,election2020 covid_political,covid19_twitter,0.7322287988825033,covid_political,0.6985,0.03372879888250324
