order,rung,added,sources,n_heldout,mean_mixture_auc,mean_best_constituent_auc,mean_mixture_minus_best
A,1,covid,covid,7,0.8466285714285714,0.8466285714285714,0.0
A,2,ukr_rus,covid ukr_rus,6,0.8303333333333334,0.8338833333333334,-0.0035499999999999976
A,3,midterm,covid ukr_rus midterm,5,0.8138,0.8238199999999999,-0.010020000000000006
A,4,covid_political,covid ukr_rus midterm covid_political,4,0.81335,0.8173249999999999,-0.0039749999999999786
A,5,election2020,covid ukr_rus midterm covid_political election2020,3,0.8069333333333333,0.8116,-0.0046666666666666705
A,6,ukr_rus_suspended,covid ukr_rus midterm covid_political election2020 ukr_rus_suspended,2,0.82405,0.8227,0.0013500000000000179
A,7,twibot20,covid ukr_rus midterm covid_political election2020 ukr_rus_suspended twibot20,1,0.7267,0.7196,0.007099999999999995
B,1,ukr_rus,ukr_rus,7,0.8492714285714287,0.8492714285714287,0.0
B,2,covid,ukr_rus covid,6,0.8303333333333334,0.8338833333333334,-0.0035499999999999976
B,3,twibot20,ukr_rus covid twibot20,5,0.8102562226915708,0.8155000000000001,-0.0052437773084291536
B,4,midterm,ukr_rus covid twibot20 midterm,4,0.7901702760336847,0.798325,-0.008154723966315336
B,5,ukr_rus_suspended,ukr_rus covid twibot20 midterm ukr_rus_suspended,3,0.8006366158205619,0.8013,-0.0006633841794381571
B,6,cp_hk,ukr_rus covid twibot20 midterm ukr_rus_suspended cp_hk,2,0.8366841553959131,0.84215,-0.005465844604086889
B,7,covid_political,ukr_rus covid twibot20 midterm ukr_rus_suspended cp_hk covid_political,1,0.8400826022988507,0.8345,0.0055826022988506585
C,1,covid_political,covid_political,7,0.6617857142857143,0.6617857142857143,0.0
C,2,election2020,covid_political election2020,6,0.6754038777458494,0.644,0.031403877745849296
C,3,cp_hk,covid_political election2020 cp_hk,5,0.7712989663282247,0.70838,0.06291896632822477
C,4,ukr_rus_suspended,covid_political election2020 cp_hk ukr_rus_suspended,4,0.8482882587005108,0.78195,0.06633825870051088
C,5,midterm,covid_political election2020 cp_hk ukr_rus_suspended midterm,3,0.8955641814229459,0.8457666666666667,0.049797514756279325
C,6,twibot20,covid_political election2020 cp_hk ukr_rus_suspended midterm twibot20,2,0.9227190467113664,0.90805,0.014669046711366318
C,7,ukr_rus,covid_political election2020 cp_hk ukr_rus_suspended midterm twibot20 ukr_rus,1,0.968881610823755,0.973,-0.004118389176244963
