architecture	model_id	sources	training_seed	evaluation_seed	checkpoint_step	task	dataset	episodes	queries	episode_fingerprint	roc_auc	accuracy	f1
prodigy	ss_covid_political	covid_political	2	0	300	classification	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.8990879765263309	0.9098307291666666	0.8109215017064847
prodigy	ss_covid_political	covid_political	2	0	900	classification	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.9118468673140915	0.8785807291666666	0.7757065544197234
prodigy	ss_election2020	election2020	2	0	300	classification	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.9837646484375	0.984375	0.9846153846153847
prodigy	ss_election2020	election2020	2	0	900	classification	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.99090576171875	0.9765625	0.9769230769230769
prodigy	ss_facebook_page_reference	facebook_page_reference	2	0	300	classification	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.7193641662597656	0.66015625	0.6660268714011516
prodigy	ss_facebook_page_reference	facebook_page_reference	2	0	900	classification	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.7622089385986328	0.6953125	0.6923076923076923
prodigy	ss_twibot20	twibot20	2	0	300	classification	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.6444138420952691	0.6100260416666666	0.629560915275201
prodigy	ss_twibot20	twibot20	2	0	900	classification	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.6314960055881076	0.5914713541666666	0.6024707000316757
prodigy	ss_ukr_rus_suspended	ukr_rus_suspended	2	0	300	classification	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.5699462890625	0.56640625	0.5612648221343873
prodigy	ss_ukr_rus_suspended	ukr_rus_suspended	2	0	900	classification	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.46893310546875	0.484375	0.5037593984962406
