architecture	protocol	checkpoint_step	target	n_models	mean_roc_auc	std_roc_auc_across_source_models
prodigy	native_neighbor_matching	0	covid_political	1	0.409698486328125	
prodigy	native_neighbor_matching	0	election2020	1	0.43719482421875	
prodigy	native_neighbor_matching	0	ukr_rus_suspended	1	0.490234375	
prodigy	native_neighbor_matching	0	twibot20	1	0.33053270975748694	
prodigy	native_neighbor_matching	0	facebook_page_reference	1	0.4923591613769531	
prodigy	native_neighbor_matching	20	covid_political	5	0.5781757496021412	0.026291131290267472
prodigy	native_neighbor_matching	20	election2020	5	0.52340087890625	0.031142724205193633
prodigy	native_neighbor_matching	20	ukr_rus_suspended	5	0.48387451171875	0.007212021090178878
prodigy	native_neighbor_matching	20	twibot20	5	0.6710836198594835	0.01558075048612945
prodigy	native_neighbor_matching	20	facebook_page_reference	5	0.5109127044677735	0.0012691162994710851
prodigy	native_neighbor_matching	60	covid_political	5	0.5747810081199364	0.03495432635087207
prodigy	native_neighbor_matching	60	election2020	5	0.51356201171875	0.015781300327485162
prodigy	native_neighbor_matching	60	ukr_rus_suspended	5	0.48525390625	0.00854280718112954
prodigy	native_neighbor_matching	60	twibot20	5	0.6762045542399088	0.032842578246270335
prodigy	native_neighbor_matching	60	facebook_page_reference	5	0.5125938415527344	0.007367132353550974
prodigy	native_neighbor_matching	100	covid_political	5	0.6607510602032697	0.12091756396056229
prodigy	native_neighbor_matching	100	election2020	5	0.633447265625	0.21033125578356296
prodigy	native_neighbor_matching	100	ukr_rus_suspended	5	0.49188232421875	0.008333031330994146
prodigy	native_neighbor_matching	100	twibot20	5	0.6928131103515625	0.02112300430554604
prodigy	native_neighbor_matching	100	facebook_page_reference	5	0.5293220520019531	0.01844138110193921
prodigy	native_neighbor_matching	300	covid_political	5	0.8416982014973959	0.07109330708640765
prodigy	native_neighbor_matching	300	election2020	5	0.965966796875	0.034014345524371055
prodigy	native_neighbor_matching	300	ukr_rus_suspended	5	0.50897216796875	0.021455007769157194
prodigy	native_neighbor_matching	300	twibot20	5	0.6502745310465494	0.01973507517901056
prodigy	native_neighbor_matching	300	facebook_page_reference	5	0.6650390625	0.06603039871230171
prodigy	native_neighbor_matching	900	covid_political	5	0.8421369199399594	0.10796848501787962
prodigy	native_neighbor_matching	900	election2020	5	0.961541748046875	0.04806664068047848
prodigy	native_neighbor_matching	900	ukr_rus_suspended	5	0.495941162109375	0.028879950132095787
prodigy	native_neighbor_matching	900	twibot20	5	0.6050167931450738	0.05751214015194628
prodigy	native_neighbor_matching	900	facebook_page_reference	5	0.6892753601074219	0.052937966449055414
vision	native_feature_similarity	0	covid_political	1	0.6979788982002555	
vision	native_feature_similarity	0	election2020	1	0.77960205078125	
vision	native_feature_similarity	0	ukr_rus_suspended	1	0.538177490234375	
vision	native_feature_similarity	0	twibot20	1	0.5405888027615018	
vision	native_feature_similarity	0	facebook_page_reference	1	0.7994213104248047	
vision	native_feature_similarity	20	covid_political	5	0.8021581386102274	0.12195658081285508
vision	native_feature_similarity	20	election2020	5	0.89481201171875	0.05209438365695063
vision	native_feature_similarity	20	ukr_rus_suspended	5	0.525970458984375	0.01498170666012568
vision	native_feature_similarity	20	twibot20	5	0.54534912109375	0.02102274442600734
vision	native_feature_similarity	20	facebook_page_reference	5	0.8142311096191406	0.04430573070657938
vision	native_feature_similarity	60	covid_political	5	0.8697138029116711	0.05392814457792829
vision	native_feature_similarity	60	election2020	5	0.94287109375	0.0485255018798388
vision	native_feature_similarity	60	ukr_rus_suspended	5	0.498138427734375	0.035448226179198496
vision	native_feature_similarity	60	twibot20	5	0.5644887288411458	0.012811193717495346
vision	native_feature_similarity	60	facebook_page_reference	5	0.8180694580078125	0.06554103160911491
vision	native_feature_similarity	100	covid_political	5	0.8692641641519181	0.034951016907724335
vision	native_feature_similarity	100	election2020	5	0.9537109375	0.026595560704771808
vision	native_feature_similarity	100	ukr_rus_suspended	5	0.5060791015625	0.006395977669950061
vision	native_feature_similarity	100	twibot20	5	0.576028315226237	0.013638387436366582
vision	native_feature_similarity	100	facebook_page_reference	5	0.8339653015136719	0.04911791876466076
vision	native_feature_similarity	300	covid_political	5	0.8670605731587961	0.031565789255823144
vision	native_feature_similarity	300	election2020	5	0.9522216796875	0.021890078184498785
vision	native_feature_similarity	300	ukr_rus_suspended	5	0.52469482421875	0.006642829304774503
vision	native_feature_similarity	300	twibot20	5	0.5821370018853081	0.021299935257020404
vision	native_feature_similarity	300	facebook_page_reference	5	0.851773452758789	0.04168629068830418
vision	native_feature_similarity	900	covid_political	5	0.8675634379332845	0.030323040503989103
vision	native_feature_similarity	900	election2020	5	0.947998046875	0.022026546936722402
vision	native_feature_similarity	900	ukr_rus_suspended	5	0.5345703125	0.014916235472220441
vision	native_feature_similarity	900	twibot20	5	0.5835590786404079	0.019817135510087094
vision	native_feature_similarity	900	facebook_page_reference	5	0.8632148742675781	0.03717698738242253
