architecture,dataset,random_init_roc_auc,update100_mean_roc_auc,mean_delta,update100_cells_above_random_fraction
prodigy,covid_political,0.4096998991789641,0.6111622107356537,0.2014623115566896,1.0
prodigy,election2020,0.43719482421875,0.57476806640625,0.1375732421875,1.0
prodigy,ukr_rus_suspended,0.490234375,0.4948080739667339,0.0045736989667338745,0.6451612903225806
prodigy,twibot20,0.3305331336127388,0.6554115322755656,0.3248783986628268,1.0
vision,covid_political,0.7312090838396991,0.8959817829382747,0.16477269909857561,0.9354838709677419
vision,election2020,0.78485107421875,0.9647118353074596,0.17986076108870963,0.967741935483871
vision,ukr_rus_suspended,0.537353515625,0.502348869077621,-0.035004646547379004,0.06451612903225806
vision,twibot20,0.5403980678982205,0.5932305175343723,0.052832449636151746,0.967741935483871
gilt,covid_political,0.5721972430193865,0.7941472225576605,0.221949979538274,1.0
gilt,election2020,0.570556640625,0.9072344380040323,0.33667779737903225,1.0
gilt,ukr_rus_suspended,0.4931640625,0.48815228862147175,-0.005011773878528247,0.2903225806451613
gilt,twibot20,0.5032471550835503,0.5430021115101367,0.03975495642658633,1.0
