model,pair_model_id,target,baseline_source,added_source,singleton_value,pair_value,impact,metric
PRODIGY / NM,nmpair_ukr_rus__cp_hk,facebook_page_reference,ukr_rus_twitter,cp_hk_twitter,0.8652459566620575,0.8712429323415647,0.0059969756795071,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__cp_hk,covid19_twitter,ukr_rus_twitter,cp_hk_twitter,0.959857883946649,0.9566240125689012,-0.0032338713777477,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__cp_hk,twibot20,ukr_rus_twitter,cp_hk_twitter,0.8968699151072009,0.8998159514076408,0.0029460363004398,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__cp_hk,covid_political,ukr_rus_twitter,cp_hk_twitter,0.8324350785935061,0.8390600990975039,0.0066250205039978,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__cp_hk,ukr_rus_suspended,ukr_rus_twitter,cp_hk_twitter,0.8301447180495864,0.8191832828795772,-0.0109614351700092,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__cp_hk,midterm,ukr_rus_twitter,cp_hk_twitter,0.8465061035649529,0.8590246686990232,0.0125185651340702,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__cp_hk,election2020,ukr_rus_twitter,cp_hk_twitter,0.8333388860198272,0.8371044208263528,0.0037655348065256,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid,facebook_page_reference,ukr_rus_twitter,covid19_twitter,0.8652459566620575,0.8610595667499236,-0.0041863899121339,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid,twibot20,ukr_rus_twitter,covid19_twitter,0.8968699151072009,0.9052923741011782,0.0084224589939773,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid,covid_political,ukr_rus_twitter,covid19_twitter,0.8324350785935061,0.8355497908318179,0.0031147122383118,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid,ukr_rus_suspended,ukr_rus_twitter,covid19_twitter,0.8301447180495864,0.8378966660335145,0.007751947983928,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid,midterm,ukr_rus_twitter,covid19_twitter,0.8465061035649529,0.8489950395178522,0.0024889359528992,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid,election2020,ukr_rus_twitter,covid19_twitter,0.8333388860198272,0.836862613551918,0.0035237275320908,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid,cp_hk_twitter,ukr_rus_twitter,covid19_twitter,0.7141873241841108,0.7076464278944609,-0.0065408962896499,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__twibot20,facebook_page_reference,ukr_rus_twitter,twibot20,0.8652459566620575,0.8567570308159138,-0.0084889258461436,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__twibot20,covid19_twitter,ukr_rus_twitter,twibot20,0.959857883946649,0.9593227941414406,-0.0005350898052083,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__twibot20,covid_political,ukr_rus_twitter,twibot20,0.8324350785935061,0.830735437212319,-0.001699641381187,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__twibot20,ukr_rus_suspended,ukr_rus_twitter,twibot20,0.8301447180495864,0.83208281555395,0.0019380975043635,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__twibot20,midterm,ukr_rus_twitter,twibot20,0.8465061035649529,0.8537779854631972,0.0072718818982442,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__twibot20,election2020,ukr_rus_twitter,twibot20,0.8333388860198272,0.84001399169023,0.0066751056704028,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__twibot20,cp_hk_twitter,ukr_rus_twitter,twibot20,0.7141873241841108,0.7142900780699719,0.0001027538858611,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__election2020,facebook_page_reference,ukr_rus_twitter,election2020,0.8652459566620575,0.8574996178177582,-0.0077463388442993,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__election2020,covid19_twitter,ukr_rus_twitter,election2020,0.959857883946649,0.953711695643677,-0.0061461883029719,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__election2020,twibot20,ukr_rus_twitter,election2020,0.8968699151072009,0.8975300460026183,0.0006601308954173,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__election2020,covid_political,ukr_rus_twitter,election2020,0.8324350785935061,0.8310386582352649,-0.0013964203582411,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__election2020,ukr_rus_suspended,ukr_rus_twitter,election2020,0.8301447180495864,0.8183000101440253,-0.0118447079055611,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__election2020,midterm,ukr_rus_twitter,election2020,0.8465061035649529,0.8537023597750171,0.0071962562100641,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__election2020,cp_hk_twitter,ukr_rus_twitter,election2020,0.7141873241841108,0.7189518055696597,0.0047644813855488,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid_political,facebook_page_reference,ukr_rus_twitter,covid_political,0.8652459566620575,0.8580873753832674,-0.00715858127879,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid_political,covid19_twitter,ukr_rus_twitter,covid_political,0.959857883946649,0.9576400419761396,-0.0022178419705093,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid_political,twibot20,ukr_rus_twitter,covid_political,0.8968699151072009,0.8977261583010357,0.0008562431938348,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid_political,ukr_rus_suspended,ukr_rus_twitter,covid_political,0.8301447180495864,0.8226065310938606,-0.0075381869557258,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid_political,midterm,ukr_rus_twitter,covid_political,0.8465061035649529,0.8499613833153384,0.0034552797503855,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid_political,election2020,ukr_rus_twitter,covid_political,0.8333388860198272,0.8216401712647801,-0.0116987147550471,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid_political,cp_hk_twitter,ukr_rus_twitter,covid_political,0.7141873241841108,0.722833967756951,0.0086466435728401,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__ukr_rus_suspended,facebook_page_reference,ukr_rus_twitter,ukr_rus_suspended,0.8652459566620575,0.8518801553495998,-0.0133658013124576,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__ukr_rus_suspended,covid19_twitter,ukr_rus_twitter,ukr_rus_suspended,0.959857883946649,0.9543517286750092,-0.0055061552716397,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__ukr_rus_suspended,twibot20,ukr_rus_twitter,ukr_rus_suspended,0.8968699151072009,0.8953918721484043,-0.0014780429587966,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__ukr_rus_suspended,covid_political,ukr_rus_twitter,ukr_rus_suspended,0.8324350785935061,0.8297374370454372,-0.0026976415480688,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__ukr_rus_suspended,midterm,ukr_rus_twitter,ukr_rus_suspended,0.8465061035649529,0.8487712805298554,0.0022651769649024,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__ukr_rus_suspended,election2020,ukr_rus_twitter,ukr_rus_suspended,0.8333388860198272,0.8303686017277598,-0.0029702842920673,macro ROC-AUC
