source,objective,update,accuracy,loss
covid_political,NM,0,0.7344,0.7029
covid_political,MT,1,0.7344,0.7029
covid_political,NM,1,0.6094,0.7486
covid_political,MT,3,0.5781,0.8866
covid_political,NM,3,0.7344,0.604
covid_political,MT,5,0.5625,1.0639
covid_political,NM,5,0.7969,0.4697
covid_political,MT,7,0.6094,0.7485
covid_political,NM,7,0.6562,0.7187
covid_political,MT,9,0.8906,0.5262
covid_political,NM,9,0.6875,0.6898
covid_political,MT,11,0.7812,0.5526
covid_political,NM,11,0.7344,0.5703
covid_political,MT,13,0.7031,0.5495
covid_political,NM,13,0.7969,0.4289
covid_political,MT,15,0.8125,0.4435
covid_political,NM,15,0.6719,0.5594
covid_political,MT,17,0.6719,0.6015
covid_political,NM,17,0.5156,0.7358
covid_political,MT,19,0.6875,0.6704
covid_political,NM,19,0.75,0.5702
covid_political,MT,21,0.6562,0.6689
covid_political,NM,21,0.75,0.4739
covid_political,MT,23,0.7812,0.513
covid_political,NM,23,0.7812,0.5919
covid_political,MT,25,0.6875,0.5815
covid_political,NM,25,0.7656,0.4943
covid_political,MT,27,0.6875,0.6197
covid_political,NM,27,0.7812,0.4825
covid_political,MT,29,0.7812,0.4536
covid_political,NM,29,0.6875,0.5124
covid_political,MT,31,0.8281,0.4534
covid_political,NM,31,0.7188,0.5652
covid_political,MT,33,0.7188,0.5456
covid_political,NM,33,0.7656,0.3816
covid_political,MT,35,0.875,0.4747
covid_political,NM,35,0.75,0.5089
covid_political,MT,37,0.7656,0.4468
covid_political,NM,37,0.8594,0.3505
covid_political,MT,39,0.7656,0.4288
covid_political,NM,39,0.7656,0.5593
covid_political,MT,41,0.6719,0.5626
covid_political,NM,41,0.6719,0.4201
covid_political,MT,43,0.8125,0.4978
covid_political,NM,43,0.7969,0.4119
covid_political,MT,45,0.8125,0.3474
covid_political,NM,45,0.7656,0.4494
covid_political,MT,47,0.8906,0.3564
covid_political,NM,47,0.6875,0.5715
covid_political,MT,49,0.7969,0.4509
covid_political,NM,49,0.7188,0.4919
covid_political,MT,51,0.7969,0.4415
covid_political,NM,51,0.7969,0.4502
covid_political,MT,53,0.8281,0.4418
covid_political,NM,53,0.8438,0.3633
covid_political,MT,55,0.7969,0.545
covid_political,NM,55,0.8281,0.3979
covid_political,MT,57,0.7812,0.4588
covid_political,NM,57,0.8281,0.3759
covid_political,MT,59,0.9219,0.3399
covid_political,NM,59,0.875,0.3339
covid_political,MT,61,0.8594,0.3282
covid_political,NM,61,0.7656,0.4332
covid_political,MT,63,0.9062,0.3296
covid_political,NM,63,0.9219,0.1923
covid_political,MT,65,0.8594,0.405
covid_political,NM,65,0.75,0.4359
covid_political,MT,67,0.8281,0.3612
covid_political,NM,67,0.8594,0.296
covid_political,MT,69,0.8594,0.2974
covid_political,NM,69,0.8594,0.2345
covid_political,MT,71,0.8906,0.2663
covid_political,NM,71,0.9062,0.1922
covid_political,MT,73,0.9062,0.1983
covid_political,NM,73,0.7812,0.5417
covid_political,MT,75,0.9844,0.1125
covid_political,NM,75,0.9688,0.1578
covid_political,MT,77,0.75,0.4326
covid_political,NM,77,0.8281,0.2633
covid_political,MT,79,0.9688,0.1313
covid_political,NM,79,0.9375,0.1829
covid_political,MT,81,0.8594,0.2409
covid_political,NM,81,0.7969,0.352
covid_political,MT,83,0.75,0.4614
covid_political,NM,83,0.9375,0.2037
covid_political,MT,85,0.8281,0.3246
covid_political,NM,85,0.8906,0.2189
covid_political,MT,87,0.7812,0.4134
covid_political,NM,87,0.7812,0.5078
covid_political,MT,89,0.875,0.2672
