condition,excluded,target,accuracy,roc_auc,run_dir
baseline,covid_political,covid_political,0.8303333333333334,0.9040681831597221,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_HELDOUT_NM_MT_to_covid_political_pl_3shot_31_08_2026_20_29_53
baseline,covid_political,election2020,0.9765,0.987863,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_INMIX_NM_MT_EXCL_covid_political_to_election2020_pl_3shot_31_08_2026_23_03_41
baseline,covid_political,facebook_page_reference,0.1615,0.745903963523707,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_INMIX_NM_MT_EXCL_covid_political_to_facebook_page_reference_pl_3shot_31_08_2026_23_06_08
baseline,covid_political,twibot20,0.7385,0.8145120538194444,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_INMIX_NM_MT_EXCL_covid_political_to_twibot20_pl_3shot_31_08_2026_23_08_35
baseline,covid_political,ukr_rus_suspended,0.56225,0.5914008749999999,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_INMIX_NM_MT_EXCL_covid_political_to_ukr_rus_suspended_pl_3shot_31_08_2026_23_09_27
baseline,election2020,covid_political,0.9031875,0.9500157317708333,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_INMIX_NM_MT_EXCL_election2020_to_covid_political_pl_3shot_31_08_2026_23_03_29
baseline,election2020,election2020,0.97275,0.9851997500000002,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_HELDOUT_NM_MT_to_election2020_pl_3shot_31_08_2026_20_29_53
baseline,election2020,facebook_page_reference,0.14779583333333332,0.7451846660470546,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_INMIX_NM_MT_EXCL_election2020_to_facebook_page_reference_pl_3shot_31_08_2026_23_05_56
baseline,election2020,twibot20,0.7368541666666667,0.8154823090277779,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_INMIX_NM_MT_EXCL_election2020_to_twibot20_pl_3shot_31_08_2026_23_08_24
baseline,election2020,ukr_rus_suspended,0.55075,0.5786813749999999,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_INMIX_NM_MT_EXCL_election2020_to_ukr_rus_suspended_pl_3shot_31_08_2026_23_09_16
