condition,excluded,seen,unseen
baseline,covid_political,0.6096875,0.8303333333333334
baseline,election2020,0.584646875,0.97275
baseline,facebook_page_reference,0.7929895833333334,0.06534166666666667
baseline,twibot20,0.6450145833333334,0.5635208333333334
baseline,ukr_rus_suspended,0.692765625,0.49025
task8,covid_political,0.5960229166666667,0.8406875
task8,election2020,0.582746875,0.9735
task8,facebook_page_reference,0.7985156250000001,0.06590416666666667
task8,twibot20,0.6490281250000001,0.5820833333333333
task8,ukr_rus_suspended,0.6967874999999999,0.48225
