arm,source,n_targets,accuracy,roc_auc
MT,heldout_mixture,5,0.5526925,0.6681900724568967
MT,covid_political,4,0.5151635416666667,0.6406738613782628
MT,election2020,4,0.4740770833333333,0.593333836929029
MT,facebook_page_reference,4,0.542765625,0.5429768515625
MT,twibot20,4,0.40379791666666665,0.5159220712262033
MT,ukr_rus_suspended,4,0.3585739583333333,0.4811175815964739
NM,heldout_mixture,5,0.5586183333333333,0.6833113158183669
NM,covid_political,4,0.529171875,0.675797553462494
NM,election2020,4,0.483475,0.6297436477752335
NM,facebook_page_reference,4,0.634640625,0.6801519685329861
NM,twibot20,4,0.5914947916666666,0.752380886878143
NM,ukr_rus_suspended,4,0.500821875,0.6720041662580819
NM_MT,heldout_mixture,5,0.5844391666666666,0.7075634330932711
NM_MT,covid_political,4,0.5322854166666667,0.677813723372396
NM_MT,election2020,4,0.48920729166666665,0.6339719462853208
NM_MT,facebook_page_reference,4,0.44938541666666665,0.43626037890625
NM_MT,twibot20,4,0.568603125,0.7344289830998563
NM_MT,ukr_rus_suspended,4,0.52620625,0.6919082025390625
