pretraining_source,covid_political,election2020,ukr_rus_suspended,twibot20,min,mean,max
ukr_rus_twitter,0.904609,0.984552,0.497882,0.630633625,0.497882,0.75441915625,0.984552
covid19_twitter,0.9074704027777778,0.982676,0.49838,0.6016127499999999,0.49838,0.7475347881944445,0.982676
midterm,0.8205045555555557,0.976084,0.497854,0.5252394861111112,0.497854,0.7049205104166667,0.976084
covid_political,0.9211452083333334,0.980246,0.489162,0.5227526805555556,0.489162,0.7283264722222222,0.980246
election2020,0.8799622777777778,0.984972,0.526674,0.521764625,0.521764625,0.7283432256944444,0.984972
ukr_rus_suspended,0.7319930138888889,0.8850640000000001,0.465546,0.5672257222222221,0.465546,0.6624571840277778,0.8850640000000001
twibot20,0.8895137638888889,0.979368,0.4947979999999999,0.6289819166666667,0.4947979999999999,0.7481654201388889,0.979368
cp_hk_twitter,0.721683125,0.7989740000000001,0.5045820000000001,0.5786785138888889,0.5045820000000001,0.6509794097222222,0.7989740000000001
full_mixture,0.9147064166666666,0.976192,0.4910259999999999,0.5938041111111111,0.4910259999999999,0.7439321319444443,0.976192
matched_exposure_mixture,0.8974852361111111,0.983344,0.499484,0.567819625,0.499484,0.7370332152777777,0.983344
specialist_mean,0.8471101684027778,0.946492,0.49685975,0.5721111649305556,0.49685975,0.7156432708333333,0.946492
specialist_median,0.8847380208333333,0.979807,0.497868,0.5729521180555555,0.497868,0.7338412847222222,0.979807
specialist_max,0.9211452083333334,0.984972,0.526674,0.630633625,0.526674,0.7658562083333333,0.984972
