metric,train,test,value
roc_auc,ukr_rus_twitter,ukr_rus_twitter,0.947028000000
roc_auc,ukr_rus_twitter,covid19_twitter,0.973043000000
roc_auc,ukr_rus_twitter,midterm,0.881146000000
roc_auc,ukr_rus_twitter,covid_political,0.839448000000
roc_auc,ukr_rus_twitter,election2020,0.826196000000
roc_auc,ukr_rus_twitter,ukr_rus_suspended,0.789419000000
roc_auc,ukr_rus_twitter,twibot20,0.921784000000
roc_auc,ukr_rus_twitter,cp_hk_twitter,0.714035000000
roc_auc,ukr_rus_twitter,facebook_page_reference,0.975288464655
roc_auc,covid19_twitter,ukr_rus_twitter,0.926438000000
roc_auc,covid19_twitter,covid19_twitter,0.980542000000
roc_auc,covid19_twitter,midterm,0.884235000000
roc_auc,covid19_twitter,covid_political,0.849781000000
roc_auc,covid19_twitter,election2020,0.834535000000
roc_auc,covid19_twitter,ukr_rus_suspended,0.786113000000
roc_auc,covid19_twitter,twibot20,0.925756000000
roc_auc,covid19_twitter,cp_hk_twitter,0.719586000000
roc_auc,covid19_twitter,facebook_page_reference,0.974159148851
roc_auc,midterm,ukr_rus_twitter,0.796992000000
roc_auc,midterm,covid19_twitter,0.879003000000
roc_auc,midterm,midterm,0.925165000000
roc_auc,midterm,covid_political,0.835314000000
roc_auc,midterm,election2020,0.804740000000
roc_auc,midterm,ukr_rus_suspended,0.644002000000
roc_auc,midterm,twibot20,0.861256000000
roc_auc,midterm,cp_hk_twitter,0.625576000000
roc_auc,midterm,facebook_page_reference,0.900582342529
roc_auc,covid_political,ukr_rus_twitter,0.630141000000
roc_auc,covid_political,covid19_twitter,0.698542000000
roc_auc,covid_political,midterm,0.687779000000
roc_auc,covid_political,covid_political,0.914533000000
roc_auc,covid_political,election2020,0.783330000000
roc_auc,covid_political,ukr_rus_suspended,0.551013000000
roc_auc,covid_political,twibot20,0.737411000000
roc_auc,covid_political,cp_hk_twitter,0.544398000000
roc_auc,covid_political,facebook_page_reference,0.742021494253
roc_auc,election2020,ukr_rus_twitter,0.601829000000
roc_auc,election2020,covid19_twitter,0.655124000000
roc_auc,election2020,midterm,0.680383000000
roc_auc,election2020,covid_political,0.787224000000
roc_auc,election2020,election2020,0.951885000000
roc_auc,election2020,ukr_rus_suspended,0.562676000000
roc_auc,election2020,twibot20,0.709563000000
roc_auc,election2020,cp_hk_twitter,0.547520000000
roc_auc,election2020,facebook_page_reference,0.685769369253
roc_auc,ukr_rus_suspended,ukr_rus_twitter,0.769504000000
roc_auc,ukr_rus_suspended,covid19_twitter,0.830668000000
roc_auc,ukr_rus_suspended,midterm,0.724669000000
roc_auc,ukr_rus_suspended,covid_political,0.732532000000
roc_auc,ukr_rus_suspended,election2020,0.727516000000
roc_auc,ukr_rus_suspended,ukr_rus_suspended,0.964013000000
roc_auc,ukr_rus_suspended,twibot20,0.764740000000
roc_auc,ukr_rus_suspended,cp_hk_twitter,0.622528000000
roc_auc,ukr_rus_suspended,facebook_page_reference,0.855910643966
roc_auc,twibot20,ukr_rus_twitter,0.868762000000
roc_auc,twibot20,covid19_twitter,0.947328000000
roc_auc,twibot20,midterm,0.860016000000
roc_auc,twibot20,covid_political,0.843136000000
roc_auc,twibot20,election2020,0.802463000000
roc_auc,twibot20,ukr_rus_suspended,0.711454000000
roc_auc,twibot20,twibot20,0.948679000000
roc_auc,twibot20,cp_hk_twitter,0.689476000000
roc_auc,twibot20,facebook_page_reference,0.954078383621
roc_auc,cp_hk_twitter,ukr_rus_twitter,0.680769000000
roc_auc,cp_hk_twitter,covid19_twitter,0.757893000000
roc_auc,cp_hk_twitter,midterm,0.762906000000
roc_auc,cp_hk_twitter,covid_political,0.682708000000
roc_auc,cp_hk_twitter,election2020,0.641204000000
roc_auc,cp_hk_twitter,ukr_rus_suspended,0.602468000000
roc_auc,cp_hk_twitter,twibot20,0.737786000000
roc_auc,cp_hk_twitter,cp_hk_twitter,0.905549000000
roc_auc,cp_hk_twitter,facebook_page_reference,0.804048315948
roc_auc,facebook_page_reference,ukr_rus_twitter,0.786644333924
roc_auc,facebook_page_reference,covid19_twitter,0.870770205635
roc_auc,facebook_page_reference,midterm,0.809209662308
roc_auc,facebook_page_reference,covid_political,0.804823169875
roc_auc,facebook_page_reference,election2020,0.775042625287
roc_auc,facebook_page_reference,ukr_rus_suspended,0.651856459770
roc_auc,facebook_page_reference,twibot20,0.835157832631
roc_auc,facebook_page_reference,cp_hk_twitter,0.626638900431
roc_auc,facebook_page_reference,facebook_page_reference,0.999471871408
accuracy,ukr_rus_twitter,ukr_rus_twitter,0.505394000000
accuracy,ukr_rus_twitter,covid19_twitter,0.605489000000
accuracy,ukr_rus_twitter,midterm,0.298022000000
accuracy,ukr_rus_twitter,covid_political,0.158911000000
accuracy,ukr_rus_twitter,election2020,0.143733000000
accuracy,ukr_rus_twitter,ukr_rus_suspended,0.223533000000
accuracy,ukr_rus_twitter,twibot20,0.391006000000
accuracy,ukr_rus_twitter,cp_hk_twitter,0.153583000000
accuracy,ukr_rus_twitter,facebook_page_reference,0.639533333333
accuracy,covid19_twitter,ukr_rus_twitter,0.460939000000
accuracy,covid19_twitter,covid19_twitter,0.657794000000
accuracy,covid19_twitter,midterm,0.313211000000
accuracy,covid19_twitter,covid_political,0.171289000000
accuracy,covid19_twitter,election2020,0.150267000000
accuracy,covid19_twitter,ukr_rus_suspended,0.223600000000
accuracy,covid19_twitter,twibot20,0.408644000000
accuracy,covid19_twitter,cp_hk_twitter,0.159567000000
accuracy,covid19_twitter,facebook_page_reference,0.653233333333
accuracy,midterm,ukr_rus_twitter,0.229917000000
accuracy,midterm,covid19_twitter,0.315167000000
accuracy,midterm,midterm,0.410289000000
accuracy,midterm,covid_political,0.140789000000
accuracy,midterm,election2020,0.122400000000
accuracy,midterm,ukr_rus_suspended,0.098400000000
accuracy,midterm,twibot20,0.261800000000
accuracy,midterm,cp_hk_twitter,0.114717000000
accuracy,midterm,facebook_page_reference,0.406283333333
accuracy,covid_political,ukr_rus_twitter,0.086928000000
accuracy,covid_political,covid19_twitter,0.117844000000
accuracy,covid_political,midterm,0.120933000000
accuracy,covid_political,covid_political,0.306778000000
accuracy,covid_political,election2020,0.111667000000
accuracy,covid_political,ukr_rus_suspended,0.058067000000
accuracy,covid_political,twibot20,0.124394000000
accuracy,covid_political,cp_hk_twitter,0.055150000000
accuracy,covid_political,facebook_page_reference,0.175100000000
accuracy,election2020,ukr_rus_twitter,0.079239000000
accuracy,election2020,covid19_twitter,0.105128000000
accuracy,election2020,midterm,0.122383000000
accuracy,election2020,covid_political,0.128683000000
accuracy,election2020,election2020,0.403000000000
accuracy,election2020,ukr_rus_suspended,0.057067000000
accuracy,election2020,twibot20,0.117406000000
accuracy,election2020,cp_hk_twitter,0.053667000000
accuracy,election2020,facebook_page_reference,0.135616666667
accuracy,ukr_rus_suspended,ukr_rus_twitter,0.209194000000
accuracy,ukr_rus_suspended,covid19_twitter,0.259583000000
accuracy,ukr_rus_suspended,midterm,0.157550000000
accuracy,ukr_rus_suspended,covid_political,0.106733000000
accuracy,ukr_rus_suspended,election2020,0.098000000000
accuracy,ukr_rus_suspended,ukr_rus_suspended,0.583667000000
accuracy,ukr_rus_suspended,twibot20,0.177439000000
accuracy,ukr_rus_suspended,cp_hk_twitter,0.103800000000
accuracy,ukr_rus_suspended,facebook_page_reference,0.309600000000
accuracy,twibot20,ukr_rus_twitter,0.358478000000
accuracy,twibot20,covid19_twitter,0.516750000000
accuracy,twibot20,midterm,0.279867000000
accuracy,twibot20,covid_political,0.169344000000
accuracy,twibot20,election2020,0.114800000000
accuracy,twibot20,ukr_rus_suspended,0.144667000000
accuracy,twibot20,twibot20,0.476344000000
accuracy,twibot20,cp_hk_twitter,0.137767000000
accuracy,twibot20,facebook_page_reference,0.563166666667
accuracy,cp_hk_twitter,ukr_rus_twitter,0.135089000000
accuracy,cp_hk_twitter,covid19_twitter,0.188150000000
accuracy,cp_hk_twitter,midterm,0.165972000000
accuracy,cp_hk_twitter,covid_political,0.095578000000
accuracy,cp_hk_twitter,election2020,0.056467000000
accuracy,cp_hk_twitter,ukr_rus_suspended,0.076133000000
accuracy,cp_hk_twitter,twibot20,0.145822000000
accuracy,cp_hk_twitter,cp_hk_twitter,0.320150000000
accuracy,cp_hk_twitter,facebook_page_reference,0.226550000000
accuracy,facebook_page_reference,ukr_rus_twitter,0.248583333333
accuracy,facebook_page_reference,covid19_twitter,0.331533333333
accuracy,facebook_page_reference,midterm,0.231538888889
accuracy,facebook_page_reference,covid_political,0.132438888889
accuracy,facebook_page_reference,election2020,0.108400000000
accuracy,facebook_page_reference,ukr_rus_suspended,0.107200000000
accuracy,facebook_page_reference,twibot20,0.233166666667
accuracy,facebook_page_reference,cp_hk_twitter,0.101983333333
accuracy,facebook_page_reference,facebook_page_reference,0.933550000000
f1,ukr_rus_twitter,ukr_rus_twitter,0.505379000000
f1,ukr_rus_twitter,covid19_twitter,0.605394000000
f1,ukr_rus_twitter,midterm,0.298906000000
f1,ukr_rus_twitter,covid_political,0.158440000000
f1,ukr_rus_twitter,election2020,0.143480000000
f1,ukr_rus_twitter,ukr_rus_suspended,0.223559000000
f1,ukr_rus_twitter,twibot20,0.391045000000
f1,ukr_rus_twitter,cp_hk_twitter,0.153564000000
f1,ukr_rus_twitter,facebook_page_reference,0.639554703239
f1,covid19_twitter,ukr_rus_twitter,0.460971000000
f1,covid19_twitter,covid19_twitter,0.657771000000
f1,covid19_twitter,midterm,0.314388000000
f1,covid19_twitter,covid_political,0.171043000000
f1,covid19_twitter,election2020,0.150330000000
f1,covid19_twitter,ukr_rus_suspended,0.223715000000
f1,covid19_twitter,twibot20,0.408657000000
f1,covid19_twitter,cp_hk_twitter,0.159577000000
f1,covid19_twitter,facebook_page_reference,0.653189131464
f1,midterm,ukr_rus_twitter,0.229936000000
f1,midterm,covid19_twitter,0.315108000000
f1,midterm,midterm,0.410289000000
f1,midterm,covid_political,0.140658000000
f1,midterm,election2020,0.122234000000
f1,midterm,ukr_rus_suspended,0.098422000000
f1,midterm,twibot20,0.261737000000
f1,midterm,cp_hk_twitter,0.114770000000
f1,midterm,facebook_page_reference,0.406233526559
f1,covid_political,ukr_rus_twitter,0.086882000000
f1,covid_political,covid19_twitter,0.117800000000
f1,covid_political,midterm,0.120855000000
f1,covid_political,covid_political,0.306816000000
f1,covid_political,election2020,0.111372000000
f1,covid_political,ukr_rus_suspended,0.058039000000
f1,covid_political,twibot20,0.124347000000
f1,covid_political,cp_hk_twitter,0.055090000000
f1,covid_political,facebook_page_reference,0.174993194220
f1,election2020,ukr_rus_twitter,0.079192000000
f1,election2020,covid19_twitter,0.105081000000
f1,election2020,midterm,0.122340000000
f1,election2020,covid_political,0.128442000000
f1,election2020,election2020,0.402823000000
f1,election2020,ukr_rus_suspended,0.057172000000
f1,election2020,twibot20,0.117376000000
f1,election2020,cp_hk_twitter,0.053652000000
f1,election2020,facebook_page_reference,0.135277707221
f1,ukr_rus_suspended,ukr_rus_twitter,0.209169000000
f1,ukr_rus_suspended,covid19_twitter,0.259558000000
f1,ukr_rus_suspended,midterm,0.157540000000
f1,ukr_rus_suspended,covid_political,0.106700000000
f1,ukr_rus_suspended,election2020,0.097907000000
f1,ukr_rus_suspended,ukr_rus_suspended,0.583720000000
f1,ukr_rus_suspended,twibot20,0.177396000000
f1,ukr_rus_suspended,cp_hk_twitter,0.103815000000
f1,ukr_rus_suspended,facebook_page_reference,0.309553846437
f1,twibot20,ukr_rus_twitter,0.358578000000
f1,twibot20,covid19_twitter,0.516735000000
f1,twibot20,midterm,0.279829000000
f1,twibot20,covid_political,0.169267000000
f1,twibot20,election2020,0.114441000000
f1,twibot20,ukr_rus_suspended,0.144487000000
f1,twibot20,twibot20,0.476282000000
f1,twibot20,cp_hk_twitter,0.137894000000
f1,twibot20,facebook_page_reference,0.563235031361
f1,cp_hk_twitter,ukr_rus_twitter,0.135175000000
f1,cp_hk_twitter,covid19_twitter,0.188084000000
f1,cp_hk_twitter,midterm,0.166042000000
f1,cp_hk_twitter,covid_political,0.095131000000
f1,cp_hk_twitter,election2020,0.056086000000
f1,cp_hk_twitter,ukr_rus_suspended,0.075276000000
f1,cp_hk_twitter,twibot20,0.145432000000
f1,cp_hk_twitter,cp_hk_twitter,0.320167000000
f1,cp_hk_twitter,facebook_page_reference,0.226376532861
f1,facebook_page_reference,ukr_rus_twitter,0.248614241948
f1,facebook_page_reference,covid19_twitter,0.331493463189
f1,facebook_page_reference,midterm,0.231555435827
f1,facebook_page_reference,covid_political,0.132391762501
f1,facebook_page_reference,election2020,0.108258144386
f1,facebook_page_reference,ukr_rus_suspended,0.107144461466
f1,facebook_page_reference,twibot20,0.233132460746
f1,facebook_page_reference,cp_hk_twitter,0.101993262712
f1,facebook_page_reference,facebook_page_reference,0.933556593299
