source,target,target_domain,n_way,chance_accuracy,test_accuracy,test_roc_auc,accuracy_above_chance,normalized_accuracy_above_chance
ukr_rus_twitter,ukr_rus_twitter,social,30,0.0333333333,0.2476027778,0.8014631959,0.2142694445,0.2210028739
facebook_page_reference,ukr_rus_twitter,social,30,0.0333333333,0.1439194444,0.7047336320,0.1105861111,0.1143994253
cora,ukr_rus_twitter,social,30,0.0333333333,0.0602625000,0.6190797777,0.0269291667,0.0278577586
pubmed,ukr_rus_twitter,social,30,0.0333333333,0.0622138889,0.5852633843,0.0288805556,0.0298764368
ukr_rus_twitter,facebook_page_reference,social,30,0.0333333333,0.2227250000,0.8185189400,0.1893916667,0.1959224138
facebook_page_reference,facebook_page_reference,social,30,0.0333333333,0.2101625000,0.7619390189,0.1768291667,0.1829267242
cora,facebook_page_reference,social,30,0.0333333333,0.0698833333,0.6118245877,0.0365500000,0.0378103448
pubmed,facebook_page_reference,social,30,0.0333333333,0.0764875000,0.5936896224,0.0431541667,0.0446422414
ukr_rus_twitter,cora,citation,5,0.2000000000,0.4931750000,0.8145808332,0.2931750000,0.3664687500
facebook_page_reference,cora,citation,5,0.2000000000,0.3820250000,0.6742739961,0.1820250000,0.2275312500
cora,cora,citation,5,0.2000000000,0.4630500000,0.7761995578,0.2630500000,0.3288125000
pubmed,cora,citation,5,0.2000000000,0.3860750000,0.6952633621,0.1860750000,0.2325937500
ukr_rus_twitter,pubmed,citation,5,0.2000000000,0.5517000000,0.8434645973,0.3517000000,0.4396250000
facebook_page_reference,pubmed,citation,5,0.2000000000,0.4648000000,0.7652690324,0.2648000000,0.3310000000
cora,pubmed,citation,5,0.2000000000,0.4023750000,0.7103645180,0.2023750000,0.2529687500
pubmed,pubmed,citation,5,0.2000000000,0.6123250000,0.8798215555,0.4123250000,0.5154062500
