base_source,added_source,pair_model_id,target,base_specialist_auc,pair_auc,delta_auc,target_heldout_from_pair
covid,covid_political,nmpair_covid__covid_political,covid_political,0.9334575511791088,0.940198262532552,0.0067407113534432295,0
covid_political,covid,nmpair_covid__covid_political,covid_political,0.897971824363426,0.940198262532552,0.04222643816912597,0
covid,covid_political,nmpair_covid__covid_political,election2020,0.98760986328125,0.9794921875,-0.00811767578125,1
covid_political,covid,nmpair_covid__covid_political,election2020,0.986480712890625,0.9794921875,-0.006988525390625,1
covid,covid_political,nmpair_covid__covid_political,facebook_page_reference,0.7663536071777344,0.7571144104003906,-0.00923919677734375,1
covid_political,covid,nmpair_covid__covid_political,facebook_page_reference,0.7047500610351562,0.7571144104003906,0.052364349365234375,1
covid,covid_political,nmpair_covid__covid_political,twibot20,0.5972194671630858,0.625830332438151,0.028610865275065178,1
covid_political,covid,nmpair_covid__covid_political,twibot20,0.5382698906792535,0.625830332438151,0.08756044175889754,1
covid,covid_political,nmpair_covid__covid_political,ukr_rus_suspended,0.49700927734375,0.5089111328125,0.01190185546875,1
covid_political,covid,nmpair_covid__covid_political,ukr_rus_suspended,0.52362060546875,0.5089111328125,-0.01470947265625,1
covid,cp_hk,nmpair_covid__cp_hk,covid_political,0.9334575511791088,0.9267094930013022,-0.0067480581778065485,1
cp_hk,covid,nmpair_covid__cp_hk,covid_political,0.7489378187391492,0.9267094930013022,0.177771674262153,1
covid,cp_hk,nmpair_covid__cp_hk,election2020,0.98760986328125,0.98846435546875,0.0008544921875,1
cp_hk,covid,nmpair_covid__cp_hk,election2020,0.933349609375,0.98846435546875,0.05511474609375,1
covid,cp_hk,nmpair_covid__cp_hk,facebook_page_reference,0.7663536071777344,0.7352638244628906,-0.03108978271484375,1
cp_hk,covid,nmpair_covid__cp_hk,facebook_page_reference,0.6773834228515625,0.7352638244628906,0.057880401611328125,1
covid,cp_hk,nmpair_covid__cp_hk,twibot20,0.5972194671630858,0.5755447811550564,-0.021674686008029465,1
cp_hk,covid,nmpair_covid__cp_hk,twibot20,0.5914132859971789,0.5755447811550564,-0.015868504842122544,1
covid,cp_hk,nmpair_covid__cp_hk,ukr_rus_suspended,0.49700927734375,0.49896240234375,0.001953125,1
cp_hk,covid,nmpair_covid__cp_hk,ukr_rus_suspended,0.46270751953125,0.49896240234375,0.0362548828125,1
covid,election2020,nmpair_covid__election2020,covid_political,0.9334575511791088,0.924997400354456,-0.00846015082465279,1
election2020,covid,nmpair_covid__election2020,covid_political,0.9326838740596064,0.924997400354456,-0.0076864737051504095,1
covid,election2020,nmpair_covid__election2020,election2020,0.98760986328125,0.9893798828125,0.00177001953125,0
election2020,covid,nmpair_covid__election2020,election2020,0.98321533203125,0.9893798828125,0.00616455078125,0
covid,election2020,nmpair_covid__election2020,facebook_page_reference,0.7663536071777344,0.7477455139160156,-0.01860809326171875,1
election2020,covid,nmpair_covid__election2020,facebook_page_reference,0.6424598693847656,0.7477455139160156,0.10528564453125,1
covid,election2020,nmpair_covid__election2020,twibot20,0.5972194671630858,0.6093667348225912,0.012147267659505356,1
election2020,covid,nmpair_covid__election2020,twibot20,0.630302005343967,0.6093667348225912,-0.02093527052137578,1
covid,election2020,nmpair_covid__election2020,ukr_rus_suspended,0.49700927734375,0.47979736328125,-0.0172119140625,1
election2020,covid,nmpair_covid__election2020,ukr_rus_suspended,0.4840087890625,0.47979736328125,-0.00421142578125,1
covid,facebook_page_reference,nmpair_covid__facebook_page_reference,covid_political,0.9334575511791088,0.9163849442093462,-0.017072606969762538,1
facebook_page_reference,covid,nmpair_covid__facebook_page_reference,covid_political,0.6227747599283854,0.9163849442093462,0.29361018428096086,1
covid,facebook_page_reference,nmpair_covid__facebook_page_reference,election2020,0.98760986328125,0.98077392578125,-0.0068359375,1
facebook_page_reference,covid,nmpair_covid__facebook_page_reference,election2020,0.96026611328125,0.98077392578125,0.0205078125,1
covid,facebook_page_reference,nmpair_covid__facebook_page_reference,facebook_page_reference,0.7663536071777344,0.7712383270263672,0.0048847198486328125,0
facebook_page_reference,covid,nmpair_covid__facebook_page_reference,facebook_page_reference,0.7076454162597656,0.7712383270263672,0.06359291076660156,0
covid,facebook_page_reference,nmpair_covid__facebook_page_reference,twibot20,0.5972194671630858,0.5730368296305339,-0.0241826375325519,1
facebook_page_reference,covid,nmpair_covid__facebook_page_reference,twibot20,0.5155548519558377,0.5730368296305339,0.057481977674696205,1
covid,facebook_page_reference,nmpair_covid__facebook_page_reference,ukr_rus_suspended,0.49700927734375,0.50439453125,0.00738525390625,1
facebook_page_reference,covid,nmpair_covid__facebook_page_reference,ukr_rus_suspended,0.474273681640625,0.50439453125,0.030120849609375,1
covid,midterm,nmpair_covid__midterm,covid_political,0.9334575511791088,0.9292613841869212,-0.004196166992187611,1
midterm,covid,nmpair_covid__midterm,covid_political,0.8891853049949364,0.9292613841869212,0.04007607919198475,1
covid,midterm,nmpair_covid__midterm,election2020,0.98760986328125,0.98492431640625,-0.002685546875,1
midterm,covid,nmpair_covid__midterm,election2020,0.98309326171875,0.98492431640625,0.0018310546875,1
covid,midterm,nmpair_covid__midterm,facebook_page_reference,0.7663536071777344,0.7893638610839844,0.02301025390625,1
midterm,covid,nmpair_covid__midterm,facebook_page_reference,0.7226409912109375,0.7893638610839844,0.06672286987304688,1
covid,midterm,nmpair_covid__midterm,twibot20,0.5972194671630858,0.5836571587456597,-0.013562308417426117,1
midterm,covid,nmpair_covid__midterm,twibot20,0.5385085211859809,0.5836571587456597,0.045148637559678795,1
covid,midterm,nmpair_covid__midterm,ukr_rus_suspended,0.49700927734375,0.4808349609375,-0.01617431640625,1
midterm,covid,nmpair_covid__midterm,ukr_rus_suspended,0.520751953125,0.4808349609375,-0.0399169921875,1
covid,twibot20,nmpair_covid__twibot20,covid_political,0.9334575511791088,0.92804604989511,-0.00541150128399881,1
twibot20,covid,nmpair_covid__twibot20,covid_political,0.9185067635995372,0.92804604989511,0.009539286295572769,1
covid,twibot20,nmpair_covid__twibot20,election2020,0.98760986328125,0.987548828125,-6.103515625e-05,1
twibot20,covid,nmpair_covid__twibot20,election2020,0.99090576171875,0.987548828125,-0.00335693359375,1
covid,twibot20,nmpair_covid__twibot20,facebook_page_reference,0.7663536071777344,0.7785263061523438,0.012172698974609375,1
twibot20,covid,nmpair_covid__twibot20,facebook_page_reference,0.7738265991210938,0.7785263061523438,0.00469970703125,1
covid,twibot20,nmpair_covid__twibot20,twibot20,0.5972194671630858,0.6263224283854167,0.029102961222330914,0
twibot20,covid,nmpair_covid__twibot20,twibot20,0.6227556864420573,0.6263224283854167,0.003566741943359486,0
covid,twibot20,nmpair_covid__twibot20,ukr_rus_suspended,0.49700927734375,0.4930419921875,-0.00396728515625,1
twibot20,covid,nmpair_covid__twibot20,ukr_rus_suspended,0.51171875,0.4930419921875,-0.0186767578125,1
covid,ukr_rus_suspended,nmpair_covid__ukr_rus_suspended,covid_political,0.9334575511791088,0.9188339798538774,-0.0146235713252314,1
ukr_rus_suspended,covid,nmpair_covid__ukr_rus_suspended,covid_political,0.6844465467664931,0.9188339798538774,0.2343874330873843,1
covid,ukr_rus_suspended,nmpair_covid__ukr_rus_suspended,election2020,0.98760986328125,0.988525390625,0.00091552734375,1
ukr_rus_suspended,covid,nmpair_covid__ukr_rus_suspended,election2020,0.97235107421875,0.988525390625,0.01617431640625,1
covid,ukr_rus_suspended,nmpair_covid__ukr_rus_suspended,facebook_page_reference,0.7663536071777344,0.7390899658203125,-0.027263641357421875,1
ukr_rus_suspended,covid,nmpair_covid__ukr_rus_suspended,facebook_page_reference,0.6333580017089844,0.7390899658203125,0.10573196411132812,1
covid,ukr_rus_suspended,nmpair_covid__ukr_rus_suspended,twibot20,0.5972194671630858,0.6215481228298612,0.024328655666775334,1
ukr_rus_suspended,covid,nmpair_covid__ukr_rus_suspended,twibot20,0.6220961676703559,0.6215481228298612,-0.0005480448404947547,1
covid,ukr_rus_suspended,nmpair_covid__ukr_rus_suspended,ukr_rus_suspended,0.49700927734375,0.49591064453125,-0.0010986328125,0
ukr_rus_suspended,covid,nmpair_covid__ukr_rus_suspended,ukr_rus_suspended,0.47119140625,0.49591064453125,0.02471923828125,0
covid_political,cp_hk,nmpair_covid_political__cp_hk,covid_political,0.897971824363426,0.9217902289496528,0.02381840458622675,0
cp_hk,covid_political,nmpair_covid_political__cp_hk,covid_political,0.7489378187391492,0.9217902289496528,0.17285241021050357,0
covid_political,cp_hk,nmpair_covid_political__cp_hk,election2020,0.986480712890625,0.99053955078125,0.004058837890625,1
cp_hk,covid_political,nmpair_covid_political__cp_hk,election2020,0.933349609375,0.99053955078125,0.05718994140625,1
covid_political,cp_hk,nmpair_covid_political__cp_hk,facebook_page_reference,0.7047500610351562,0.6806411743164062,-0.02410888671875,1
cp_hk,covid_political,nmpair_covid_political__cp_hk,facebook_page_reference,0.6773834228515625,0.6806411743164062,0.00325775146484375,1
covid_political,cp_hk,nmpair_covid_political__cp_hk,twibot20,0.5382698906792535,0.5832646687825521,0.04499477810329866,1
cp_hk,covid_political,nmpair_covid_political__cp_hk,twibot20,0.5914132859971789,0.5832646687825521,-0.008148617214626785,1
covid_political,cp_hk,nmpair_covid_political__cp_hk,ukr_rus_suspended,0.52362060546875,0.46826171875,-0.05535888671875,1
cp_hk,covid_political,nmpair_covid_political__cp_hk,ukr_rus_suspended,0.46270751953125,0.46826171875,0.00555419921875,1
covid_political,election2020,nmpair_covid_political__election2020,covid_political,0.897971824363426,0.9107389096860532,0.012767085322627159,0
election2020,covid_political,nmpair_covid_political__election2020,covid_political,0.9326838740596064,0.9107389096860532,-0.0219449643735532,0
covid_political,election2020,nmpair_covid_political__election2020,election2020,0.986480712890625,0.99102783203125,0.004547119140625,0
election2020,covid_political,nmpair_covid_political__election2020,election2020,0.98321533203125,0.99102783203125,0.0078125,0
covid_political,election2020,nmpair_covid_political__election2020,facebook_page_reference,0.7047500610351562,0.6930198669433594,-0.011730194091796875,1
election2020,covid_political,nmpair_covid_political__election2020,facebook_page_reference,0.6424598693847656,0.6930198669433594,0.05055999755859375,1
covid_political,election2020,nmpair_covid_political__election2020,twibot20,0.5382698906792535,0.5125397576226128,-0.025730133056640625,1
election2020,covid_political,nmpair_covid_political__election2020,twibot20,0.630302005343967,0.5125397576226128,-0.11776224772135413,1
covid_political,election2020,nmpair_covid_political__election2020,ukr_rus_suspended,0.52362060546875,0.49139404296875,-0.0322265625,1
election2020,covid_political,nmpair_covid_political__election2020,ukr_rus_suspended,0.4840087890625,0.49139404296875,0.00738525390625,1
covid_political,facebook_page_reference,nmpair_covid_political__facebook_page_reference,covid_political,0.897971824363426,0.8485915572554977,-0.04938026710792831,0
facebook_page_reference,covid_political,nmpair_covid_political__facebook_page_reference,covid_political,0.6227747599283854,0.8485915572554977,0.22581679732711235,0
covid_political,facebook_page_reference,nmpair_covid_political__facebook_page_reference,election2020,0.986480712890625,0.9744873046875,-0.011993408203125,1
facebook_page_reference,covid_political,nmpair_covid_political__facebook_page_reference,election2020,0.96026611328125,0.9744873046875,0.01422119140625,1
covid_political,facebook_page_reference,nmpair_covid_political__facebook_page_reference,facebook_page_reference,0.7047500610351562,0.7354927062988281,0.030742645263671875,0
facebook_page_reference,covid_political,nmpair_covid_political__facebook_page_reference,facebook_page_reference,0.7076454162597656,0.7354927062988281,0.0278472900390625,0
covid_political,facebook_page_reference,nmpair_covid_political__facebook_page_reference,twibot20,0.5382698906792535,0.540183597140842,0.0019137064615885047,1
facebook_page_reference,covid_political,nmpair_covid_political__facebook_page_reference,twibot20,0.5155548519558377,0.540183597140842,0.02462874518500424,1
covid_political,facebook_page_reference,nmpair_covid_political__facebook_page_reference,ukr_rus_suspended,0.52362060546875,0.489166259765625,-0.034454345703125,1
facebook_page_reference,covid_political,nmpair_covid_political__facebook_page_reference,ukr_rus_suspended,0.474273681640625,0.489166259765625,0.014892578125,1
covid_political,twibot20,nmpair_covid_political__twibot20,covid_political,0.897971824363426,0.9121678670247396,0.01419604266131358,0
twibot20,covid_political,nmpair_covid_political__twibot20,covid_political,0.9185067635995372,0.9121678670247396,-0.006338896574797581,0
covid_political,twibot20,nmpair_covid_political__twibot20,election2020,0.986480712890625,0.98760986328125,0.001129150390625,1
twibot20,covid_political,nmpair_covid_political__twibot20,election2020,0.99090576171875,0.98760986328125,-0.0032958984375,1
covid_political,twibot20,nmpair_covid_political__twibot20,facebook_page_reference,0.7047500610351562,0.7686080932617188,0.0638580322265625,1
twibot20,covid_political,nmpair_covid_political__twibot20,facebook_page_reference,0.7738265991210938,0.7686080932617188,-0.005218505859375,1
covid_political,twibot20,nmpair_covid_political__twibot20,twibot20,0.5382698906792535,0.6370364295111761,0.09876653883192266,0
twibot20,covid_political,nmpair_covid_political__twibot20,twibot20,0.6227556864420573,0.6370364295111761,0.014280743069118862,0
covid_political,twibot20,nmpair_covid_political__twibot20,ukr_rus_suspended,0.52362060546875,0.5089111328125,-0.01470947265625,1
twibot20,covid_political,nmpair_covid_political__twibot20,ukr_rus_suspended,0.51171875,0.5089111328125,-0.0028076171875,1
covid_political,ukr_rus_suspended,nmpair_covid_political__ukr_rus_suspended,covid_political,0.897971824363426,0.9206859447337964,0.02271412037037035,0
ukr_rus_suspended,covid_political,nmpair_covid_political__ukr_rus_suspended,covid_political,0.6844465467664931,0.9206859447337964,0.2362393979673033,0
covid_political,ukr_rus_suspended,nmpair_covid_political__ukr_rus_suspended,election2020,0.986480712890625,0.9840087890625,-0.002471923828125,1
ukr_rus_suspended,covid_political,nmpair_covid_political__ukr_rus_suspended,election2020,0.97235107421875,0.9840087890625,0.01165771484375,1
covid_political,ukr_rus_suspended,nmpair_covid_political__ukr_rus_suspended,facebook_page_reference,0.7047500610351562,0.6560325622558594,-0.048717498779296875,1
ukr_rus_suspended,covid_political,nmpair_covid_political__ukr_rus_suspended,facebook_page_reference,0.6333580017089844,0.6560325622558594,0.022674560546875,1
covid_political,ukr_rus_suspended,nmpair_covid_political__ukr_rus_suspended,twibot20,0.5382698906792535,0.6352810329861112,0.0970111423068577,1
ukr_rus_suspended,covid_political,nmpair_covid_political__ukr_rus_suspended,twibot20,0.6220961676703559,0.6352810329861112,0.013184865315755245,1
covid_political,ukr_rus_suspended,nmpair_covid_political__ukr_rus_suspended,ukr_rus_suspended,0.52362060546875,0.521484375,-0.00213623046875,0
ukr_rus_suspended,covid_political,nmpair_covid_political__ukr_rus_suspended,ukr_rus_suspended,0.47119140625,0.521484375,0.05029296875,0
cp_hk,facebook_page_reference,nmpair_cp_hk__facebook_page_reference,covid_political,0.7489378187391492,0.7601880674008971,0.011250248661747841,1
facebook_page_reference,cp_hk,nmpair_cp_hk__facebook_page_reference,covid_political,0.6227747599283854,0.7601880674008971,0.13741330747251168,1
cp_hk,facebook_page_reference,nmpair_cp_hk__facebook_page_reference,election2020,0.933349609375,0.9805908203125,0.0472412109375,1
facebook_page_reference,cp_hk,nmpair_cp_hk__facebook_page_reference,election2020,0.96026611328125,0.9805908203125,0.02032470703125,1
cp_hk,facebook_page_reference,nmpair_cp_hk__facebook_page_reference,facebook_page_reference,0.6773834228515625,0.7741222381591797,0.09673881530761719,0
facebook_page_reference,cp_hk,nmpair_cp_hk__facebook_page_reference,facebook_page_reference,0.7076454162597656,0.7741222381591797,0.06647682189941406,0
cp_hk,facebook_page_reference,nmpair_cp_hk__facebook_page_reference,twibot20,0.5914132859971789,0.589387469821506,-0.0020258161756728787,1
facebook_page_reference,cp_hk,nmpair_cp_hk__facebook_page_reference,twibot20,0.5155548519558377,0.589387469821506,0.0738326178656683,1
cp_hk,facebook_page_reference,nmpair_cp_hk__facebook_page_reference,ukr_rus_suspended,0.46270751953125,0.50262451171875,0.0399169921875,1
facebook_page_reference,cp_hk,nmpair_cp_hk__facebook_page_reference,ukr_rus_suspended,0.474273681640625,0.50262451171875,0.028350830078125,1
cp_hk,election2020,nmpair_election2020__cp_hk,covid_political,0.7489378187391492,0.9321955928096064,0.18325777407045718,1
election2020,cp_hk,nmpair_election2020__cp_hk,covid_political,0.9326838740596064,0.9321955928096064,-0.00048828125,1
cp_hk,election2020,nmpair_election2020__cp_hk,election2020,0.933349609375,0.9853515625,0.052001953125,0
election2020,cp_hk,nmpair_election2020__cp_hk,election2020,0.98321533203125,0.9853515625,0.00213623046875,0
cp_hk,election2020,nmpair_election2020__cp_hk,facebook_page_reference,0.6773834228515625,0.6558570861816406,-0.021526336669921875,1
election2020,cp_hk,nmpair_election2020__cp_hk,facebook_page_reference,0.6424598693847656,0.6558570861816406,0.013397216796875,1
cp_hk,election2020,nmpair_election2020__cp_hk,twibot20,0.5914132859971789,0.6378678215874567,0.04645453559027779,1
election2020,cp_hk,nmpair_election2020__cp_hk,twibot20,0.630302005343967,0.6378678215874567,0.007565816243489731,1
cp_hk,election2020,nmpair_election2020__cp_hk,ukr_rus_suspended,0.46270751953125,0.499755859375,0.03704833984375,1
election2020,cp_hk,nmpair_election2020__cp_hk,ukr_rus_suspended,0.4840087890625,0.499755859375,0.0157470703125,1
election2020,facebook_page_reference,nmpair_election2020__facebook_page_reference,covid_political,0.9326838740596064,0.7756565235279225,-0.15702735053168393,1
facebook_page_reference,election2020,nmpair_election2020__facebook_page_reference,covid_political,0.6227747599283854,0.7756565235279225,0.1528817635995371,1
election2020,facebook_page_reference,nmpair_election2020__facebook_page_reference,election2020,0.98321533203125,0.983642578125,0.00042724609375,0
facebook_page_reference,election2020,nmpair_election2020__facebook_page_reference,election2020,0.96026611328125,0.983642578125,0.02337646484375,0
election2020,facebook_page_reference,nmpair_election2020__facebook_page_reference,facebook_page_reference,0.6424598693847656,0.6816062927246094,0.03914642333984375,0
facebook_page_reference,election2020,nmpair_election2020__facebook_page_reference,facebook_page_reference,0.7076454162597656,0.6816062927246094,-0.02603912353515625,0
election2020,facebook_page_reference,nmpair_election2020__facebook_page_reference,twibot20,0.630302005343967,0.5204556783040364,-0.10984632703993058,1
facebook_page_reference,election2020,nmpair_election2020__facebook_page_reference,twibot20,0.5155548519558377,0.5204556783040364,0.004900826348198661,1
election2020,facebook_page_reference,nmpair_election2020__facebook_page_reference,ukr_rus_suspended,0.4840087890625,0.490081787109375,0.006072998046875,1
facebook_page_reference,election2020,nmpair_election2020__facebook_page_reference,ukr_rus_suspended,0.474273681640625,0.490081787109375,0.01580810546875,1
election2020,twibot20,nmpair_election2020__twibot20,covid_political,0.9326838740596064,0.9335977059823496,0.0009138319227431912,1
twibot20,election2020,nmpair_election2020__twibot20,covid_political,0.9185067635995372,0.9335977059823496,0.015090942382812389,1
election2020,twibot20,nmpair_election2020__twibot20,election2020,0.98321533203125,0.99249267578125,0.00927734375,0
twibot20,election2020,nmpair_election2020__twibot20,election2020,0.99090576171875,0.99249267578125,0.0015869140625,0
election2020,twibot20,nmpair_election2020__twibot20,facebook_page_reference,0.6424598693847656,0.7730331420898438,0.13057327270507812,1
twibot20,election2020,nmpair_election2020__twibot20,facebook_page_reference,0.7738265991210938,0.7730331420898438,-0.00079345703125,1
election2020,twibot20,nmpair_election2020__twibot20,twibot20,0.630302005343967,0.5997125837537978,-0.030589421590169197,0
twibot20,election2020,nmpair_election2020__twibot20,twibot20,0.6227556864420573,0.5997125837537978,-0.023043102688259487,0
election2020,twibot20,nmpair_election2020__twibot20,ukr_rus_suspended,0.4840087890625,0.462158203125,-0.0218505859375,1
twibot20,election2020,nmpair_election2020__twibot20,ukr_rus_suspended,0.51171875,0.462158203125,-0.049560546875,1
election2020,ukr_rus_suspended,nmpair_election2020__ukr_rus_suspended,covid_political,0.9326838740596064,0.9042290581597222,-0.02845481589988419,1
ukr_rus_suspended,election2020,nmpair_election2020__ukr_rus_suspended,covid_political,0.6844465467664931,0.9042290581597222,0.21978251139322913,1
election2020,ukr_rus_suspended,nmpair_election2020__ukr_rus_suspended,election2020,0.98321533203125,0.98388671875,0.00067138671875,0
ukr_rus_suspended,election2020,nmpair_election2020__ukr_rus_suspended,election2020,0.97235107421875,0.98388671875,0.01153564453125,0
election2020,ukr_rus_suspended,nmpair_election2020__ukr_rus_suspended,facebook_page_reference,0.6424598693847656,0.6520805358886719,0.00962066650390625,1
ukr_rus_suspended,election2020,nmpair_election2020__ukr_rus_suspended,facebook_page_reference,0.6333580017089844,0.6520805358886719,0.0187225341796875,1
election2020,ukr_rus_suspended,nmpair_election2020__ukr_rus_suspended,twibot20,0.630302005343967,0.6410325368245443,0.010730531480577343,1
ukr_rus_suspended,election2020,nmpair_election2020__ukr_rus_suspended,twibot20,0.6220961676703559,0.6410325368245443,0.018936369154188393,1
election2020,ukr_rus_suspended,nmpair_election2020__ukr_rus_suspended,ukr_rus_suspended,0.4840087890625,0.5042724609375,0.020263671875,0
ukr_rus_suspended,election2020,nmpair_election2020__ukr_rus_suspended,ukr_rus_suspended,0.47119140625,0.5042724609375,0.0330810546875,0
covid_political,midterm,nmpair_midterm__covid_political,covid_political,0.897971824363426,0.8972119931821471,-0.0007598311812789804,0
midterm,covid_political,nmpair_midterm__covid_political,covid_political,0.8891853049949364,0.8972119931821471,0.00802668818721064,0
covid_political,midterm,nmpair_midterm__covid_political,election2020,0.986480712890625,0.9893798828125,0.002899169921875,1
midterm,covid_political,nmpair_midterm__covid_political,election2020,0.98309326171875,0.9893798828125,0.00628662109375,1
covid_political,midterm,nmpair_midterm__covid_political,facebook_page_reference,0.7047500610351562,0.7531166076660156,0.048366546630859375,1
