case,state,action,source,bce_delta,auc_delta_pp,train_bce_delta
0,best,corrected,facebook_page_reference,0.002906570024788325,-0.04379020929335534,-0.001712123863398975
0,best,corrected,ukr_rus_twitter,0.00041575809009368567,-0.03469116687774826,-0.0012399060651659501
0,best,mixed,facebook_page_reference,0.002899433020502275,-0.04379525482653826,-0.001695597544312425
0,best,mixed,ukr_rus_twitter,0.0004192765336483232,-0.03479850590229479,-0.0012208027765154375
0,best,mixed_norm_matched,facebook_page_reference,0.0029045158065854997,-0.043874034285534796,-0.0016993219032883126
0,best,mixed_norm_matched,ukr_rus_twitter,0.0004201223142444732,-0.03485153317451801,-0.0012205364182590875
0,final,corrected,facebook_page_reference,-0.0037168355658649998,0.051736581325538475,0.0015323385596274874
0,final,corrected,ukr_rus_twitter,-0.0005563462618737875,0.019733116030691514,-0.0021192077547311254
0,final,mixed,facebook_page_reference,-0.00368946790695185,0.046850708127026075,0.002123027108609625
0,final,mixed,ukr_rus_twitter,-0.00047341207973655003,0.016489446163173112,-0.0018191440030932001
0,final,mixed_norm_matched,facebook_page_reference,-0.0037424171343445,0.0483283549547297,0.0022873422130941998
0,final,mixed_norm_matched,ukr_rus_twitter,-0.00044519398361441255,0.01708271801471589,-0.001849454827606625
0,initial,corrected,facebook_page_reference,-0.08550870995968572,0.35714273452758516,-0.08784065768122667
0,initial,corrected,ukr_rus_twitter,0.01443480583839115,0.03042147755621665,0.013553734868764801
0,initial,mixed,facebook_page_reference,-0.08550870995968572,0.35714273452758516,-0.08784065768122667
0,initial,mixed,ukr_rus_twitter,0.01443480583839115,0.03042147755621665,0.013553734868764801
0,initial,mixed_norm_matched,facebook_page_reference,-0.08550870995968572,0.35714273452758516,-0.08784065768122667
0,initial,mixed_norm_matched,ukr_rus_twitter,0.01443480583839115,0.03042147755621665,0.013553734868764801
1,best,corrected,covid_political,0.0003154148813336882,-0.004013758897775087,-0.0012834928929805248
1,best,corrected,ukr_rus_suspended,-0.0028267207555472376,0.08392627239227202,-0.0026173423975705498
1,best,mixed,covid_political,0.0003154148813336882,-0.004013758897775087,-0.0012834928929805248
1,best,mixed,ukr_rus_suspended,-0.0028267207555472376,0.08392627239227202,-0.0026173423975705498
1,best,mixed_norm_matched,covid_political,0.0003154148813336882,-0.004013758897775087,-0.0012834928929805248
1,best,mixed_norm_matched,ukr_rus_suspended,-0.0028267207555472376,0.08392627239227202,-0.0026173423975705498
1,final,corrected,covid_political,-0.0036914640106260124,0.07932974100111895,-0.0011672452092170251
1,final,corrected,ukr_rus_suspended,-0.0068996889516710624,0.08305613994598751,-0.0035313735716044374
1,final,mixed,covid_political,-0.0036914640106260124,0.07932974100111895,-0.0011672452092170251
1,final,mixed,ukr_rus_suspended,-0.0068996889516710624,0.08305613994598751,-0.0035313735716044374
1,final,mixed_norm_matched,covid_political,-0.0036914640106260124,0.07932974100111895,-0.0011672452092170251
1,final,mixed_norm_matched,ukr_rus_suspended,-0.0068996889516710624,0.08305613994598751,-0.0035313735716044374
1,initial,corrected,covid_political,-0.05397796966135506,1.798691073060027,-0.05471592396497722
1,initial,corrected,ukr_rus_suspended,0.0015477311797439234,-0.01335750222206805,-0.0002448428422212687
1,initial,mixed,covid_political,-0.06158142918720845,2.2767501592636057,-0.0622787736356258
1,initial,mixed,ukr_rus_suspended,0.0011815087869762502,0.18837432563304773,0.011869231238961187
1,initial,mixed_norm_matched,covid_political,-0.06379047716036444,2.5461855649948104,-0.06454258039593694
1,initial,mixed_norm_matched,ukr_rus_suspended,0.0031597484834491375,0.200853848457333,0.015589380636811211
