pair,target,model,label,n,lost,gained,both_wrong,both_right,rank_recovered,rank_damaged
Ukraine + Facebook,covid19_twitter,A→B,0,7000,316,162,266,6256,0.01576969387755102,0.01944826530612245
Ukraine + Facebook,covid19_twitter,A→B,1,1400,52,45,122,1181,0.01576969387755102,0.01944826530612245
Ukraine + Facebook,covid19_twitter,B→A,0,7000,208,163,265,6364,0.017082857142857143,0.011907244897959184
Ukraine + Facebook,covid19_twitter,B→A,1,1400,30,54,113,1203,0.017082857142857143,0.011907244897959184
Ukraine + Facebook,covid19_twitter,Interleaved,0,7000,293,194,234,6279,0.0164365306122449,0.023103061224489796
Ukraine + Facebook,covid19_twitter,Interleaved,1,1400,63,47,120,1170,0.0164365306122449,0.023103061224489796
Ukraine + Facebook,midterm,A→B,0,7000,390,256,649,5705,0.016119795918367347,0.04459030612244898
Ukraine + Facebook,midterm,A→B,1,1400,120,29,105,1146,0.016119795918367347,0.04459030612244898
Ukraine + Facebook,midterm,B→A,0,7000,207,304,601,5888,0.019878061224489797,0.016490663265306123
Ukraine + Facebook,midterm,B→A,1,1400,56,33,101,1210,0.019878061224489797,0.016490663265306123
Ukraine + Facebook,midterm,Interleaved,0,7000,723,186,719,5372,0.018973673469387754,0.04363081632653061
Ukraine + Facebook,midterm,Interleaved,1,1400,74,56,78,1192,0.018973673469387754,0.04363081632653061
Ukraine + Facebook,covid_political,A→B,0,7000,685,75,357,5883,0.013733571428571428,0.04080234693877551
Ukraine + Facebook,covid_political,A→B,1,1400,55,63,119,1163,0.013733571428571428,0.04080234693877551
Ukraine + Facebook,covid_political,B→A,0,7000,331,106,326,6237,0.01692918367346939,0.016381632653061223
Ukraine + Facebook,covid_political,B→A,1,1400,29,76,106,1189,0.01692918367346939,0.016381632653061223
Ukraine + Facebook,covid_political,Interleaved,0,7000,401,114,318,6167,0.016724183673469388,0.03203607142857143
Ukraine + Facebook,covid_political,Interleaved,1,1400,73,58,124,1145,0.016724183673469388,0.03203607142857143
Ukraine + Facebook,ukr_rus_suspended,A→B,0,7000,501,85,535,5879,0.013549591836734693,0.03448285714285714
Ukraine + Facebook,ukr_rus_suspended,A→B,1,1400,54,53,119,1174,0.013549591836734693,0.03448285714285714
Ukraine + Facebook,ukr_rus_suspended,B→A,0,7000,261,122,498,6119,0.014568775510204081,0.019207448979591837
Ukraine + Facebook,ukr_rus_suspended,B→A,1,1400,47,45,127,1181,0.014568775510204081,0.019207448979591837
Ukraine + Facebook,ukr_rus_suspended,Interleaved,0,7000,537,110,510,5843,0.016769285714285716,0.031701632653061224
Ukraine + Facebook,ukr_rus_suspended,Interleaved,1,1400,50,62,110,1178,0.016769285714285716,0.031701632653061224
Ukraine + Facebook,twibot20,A→B,0,7000,622,174,611,5593,0.016903673469387755,0.040695408163265306
Ukraine + Facebook,twibot20,A→B,1,1400,61,54,128,1157,0.016903673469387755,0.040695408163265306
Ukraine + Facebook,twibot20,B→A,0,7000,232,242,543,5983,0.02256607142857143,0.022133214285714287
Ukraine + Facebook,twibot20,B→A,1,1400,64,56,126,1154,0.02256607142857143,0.022133214285714287
Ukraine + Facebook,twibot20,Interleaved,0,7000,284,294,491,5931,0.02258295918367347,0.03488204081632653
Ukraine + Facebook,twibot20,Interleaved,1,1400,103,46,136,1115,0.02258295918367347,0.03488204081632653
Ukraine + Facebook,cp_hk_twitter,A→B,0,7000,373,203,327,6097,0.008804183673469388,0.033421989795918365
Ukraine + Facebook,cp_hk_twitter,A→B,1,1400,91,36,87,1186,0.008804183673469388,0.033421989795918365
Ukraine + Facebook,cp_hk_twitter,B→A,0,7000,189,202,328,6281,0.012173163265306123,0.012887448979591837
Ukraine + Facebook,cp_hk_twitter,B→A,1,1400,34,47,76,1243,0.012173163265306123,0.012887448979591837
Ukraine + Facebook,cp_hk_twitter,Interleaved,0,7000,368,249,281,6102,0.010955510204081633,0.03381632653061224
Ukraine + Facebook,cp_hk_twitter,Interleaved,1,1400,90,37,86,1187,0.010955510204081633,0.03381632653061224
COVID political + suspended,ukr_rus_twitter,A→B,0,7000,419,442,278,5861,0.04285765306122449,0.03346214285714286
COVID political + suspended,ukr_rus_twitter,A→B,1,1400,74,119,108,1099,0.04285765306122449,0.03346214285714286
COVID political + suspended,ukr_rus_twitter,B→A,0,7000,444,406,314,5836,0.039407142857142856,0.041499489795918366
COVID political + suspended,ukr_rus_twitter,B→A,1,1400,85,114,113,1088,0.039407142857142856,0.041499489795918366
COVID political + suspended,ukr_rus_twitter,Interleaved,0,7000,263,478,242,6017,0.04432,0.022714387755102042
COVID political + suspended,ukr_rus_twitter,Interleaved,1,1400,69,109,118,1104,0.04432,0.022714387755102042
COVID political + suspended,covid19_twitter,A→B,0,7000,441,552,326,5681,0.06427275510204082,0.05069581632653061
COVID political + suspended,covid19_twitter,A→B,1,1400,120,153,174,953,0.06427275510204082,0.05069581632653061
COVID political + suspended,covid19_twitter,B→A,0,7000,551,479,399,5571,0.0650201530612245,0.04466642857142857
COVID political + suspended,covid19_twitter,B→A,1,1400,70,176,151,1003,0.0650201530612245,0.04466642857142857
COVID political + suspended,covid19_twitter,Interleaved,0,7000,421,553,325,5701,0.06544693877551021,0.04073908163265306
COVID political + suspended,covid19_twitter,Interleaved,1,1400,72,150,177,1001,0.06544693877551021,0.04073908163265306
COVID political + suspended,midterm,A→B,0,7000,534,879,725,4862,0.09644693877551021,0.05528765306122449
COVID political + suspended,midterm,A→B,1,1400,116,154,193,937,0.09644693877551021,0.05528765306122449
COVID political + suspended,midterm,B→A,0,7000,342,1073,531,5054,0.1130269387755102,0.04310867346938776
COVID political + suspended,midterm,B→A,1,1400,109,173,174,944,0.1130269387755102,0.04310867346938776
COVID political + suspended,midterm,Interleaved,0,7000,374,1001,603,5022,0.11056775510204081,0.0377384693877551
COVID political + suspended,midterm,Interleaved,1,1400,99,177,170,954,0.11056775510204081,0.0377384693877551
COVID political + suspended,twibot20,A→B,0,7000,628,907,710,4755,0.08579316326530612,0.06566127551020408
COVID political + suspended,twibot20,A→B,1,1400,143,113,176,968,0.08579316326530612,0.06566127551020408
COVID political + suspended,twibot20,B→A,0,7000,594,933,684,4789,0.09279571428571429,0.04928688775510204
COVID political + suspended,twibot20,B→A,1,1400,89,138,151,1022,0.09279571428571429,0.04928688775510204
COVID political + suspended,twibot20,Interleaved,0,7000,632,915,702,4751,0.09518494897959184,0.052972704081632654
COVID political + suspended,twibot20,Interleaved,1,1400,87,149,140,1024,0.09518494897959184,0.052972704081632654
COVID political + suspended,cp_hk_twitter,A→B,0,7000,620,894,548,4938,0.08230183673469388,0.06822418367346939
COVID political + suspended,cp_hk_twitter,A→B,1,1400,141,143,157,959,0.08230183673469388,0.06822418367346939
COVID political + suspended,cp_hk_twitter,B→A,0,7000,520,829,613,5038,0.08256255102040816,0.03897734693877551
COVID political + suspended,cp_hk_twitter,B→A,1,1400,64,148,152,1036,0.08256255102040816,0.03897734693877551
COVID political + suspended,cp_hk_twitter,Interleaved,0,7000,528,806,636,5030,0.07317765306122449,0.05845091836734694
COVID political + suspended,cp_hk_twitter,Interleaved,1,1400,105,111,189,995,0.07317765306122449,0.05845091836734694
COVID political + suspended,facebook_page_reference,A→B,0,7000,786,839,654,4721,0.11293030612244898,0.11030071428571428
COVID political + suspended,facebook_page_reference,A→B,1,1400,187,189,337,687,0.11293030612244898,0.11030071428571428
COVID political + suspended,facebook_page_reference,B→A,0,7000,1287,685,808,4220,0.10657908163265306,0.1462488775510204
COVID political + suspended,facebook_page_reference,B→A,1,1400,193,238,288,681,0.10657908163265306,0.1462488775510204
COVID political + suspended,facebook_page_reference,Interleaved,0,7000,720,799,694,4787,0.11242489795918367,0.08804275510204082
COVID political + suspended,facebook_page_reference,Interleaved,1,1400,150,192,334,724,0.11242489795918367,0.08804275510204082
