state,step,trial,action,update_scale,validation_source,bce_before,bce_after,bce_delta,auc_before,auc_after,auc_delta_pp,first_order_bce_delta,update_norm,validation_gradient_update_cosine,preclip_norm,case
initial,0,0,A_task,0.1,A,0.0776182357221841,0.0775591466575861,-5.9089064598047414e-05,0.9897437653541564,0.9897482118606568,0.0004446506500332,-6.127660807379601e-05,0.0049736615636067,-0.0716447957062753,0.1367589384317398,0
initial,0,0,A_task,0.1,B,0.3731962740421294,0.3731744542717934,-2.1819770336051203e-05,0.8960884220600128,0.8961903264522554,0.0101904392242557,-2.157335535731052e-05,0.0049736615636067,-0.002561212646468,0.1367589384317398,0
initial,0,0,A_task,0.25,A,0.0776182357221841,0.0774785988032818,-0.0001396369189023,0.9897437653541564,0.9897535905838012,0.0009825229644544,-0.0001531915174926,0.0124341536953596,-0.0716447956784423,0.1367589384317398,0
initial,0,0,A_task,0.25,B,0.3731962740421294,0.3731407597661018,-5.551427602767944e-05,0.8960884220600128,0.8963427009582521,0.0254278898239257,-5.3933387742691355e-05,0.0124341536953596,-0.0025612126595823,0.1367589384317398,0
initial,0,0,A_task,0.5,A,0.0776182357221841,0.0773656953126192,-0.0002525404095649,0.9897437653541564,0.989760716676712,0.0016951322555414,-0.0003063830349853,0.0248683073907192,-0.0716447956784423,0.1367589384317398,0
initial,0,0,A_task,0.5,B,0.3731962740421294,0.3730807200074196,-0.0001155540347098,0.8960884220600128,0.8965933921337128,0.0504970073699984,-0.0001078667754853,0.0248683073907192,-0.0025612126595823,0.1367589384317398,0
initial,0,0,B_task,0.1,A,0.0776182357221841,0.0769308805465698,-0.0006873551756143,0.9897437653541564,0.9898229727745056,0.0079207420348947,-0.0009427130840662,0.0165635068403943,-0.3309736389062193,1.6763584613800049,0
initial,0,0,B_task,0.1,B,0.3731962740421294,0.3601653277873993,-0.0130309462547301,0.8960884220600128,0.8967773623466491,0.0688940286636241,-0.0133808255397584,0.0165635068403943,-0.4770180221291245,1.6763584613800049,0
initial,0,0,B_task,0.25,A,0.0776182357221841,0.0768620815128087,-0.0007561542093753,0.9897437653541564,0.9899196922779082,0.0175926923751679,-0.0023567826691433,0.0414087663885225,-0.3309736388398716,1.6763584613800049,0
initial,0,0,B_task,0.25,B,0.3731962740421294,0.3420255407691002,-0.0311707332730292,0.8960884220600128,0.8976776127815247,0.1589190721511868,-0.0334520632660967,0.0414087663885225,-0.4770180220188115,1.6763584613800049,0
initial,0,0,B_task,0.5,A,0.0776182357221841,0.0793717730790376,0.0017535373568535,0.9897437653541564,0.990025412797928,0.0281647443771348,-0.0047135653382866,0.0828175327770451,-0.3309736388398716,1.6763584613800049,0
initial,0,0,B_task,0.5,B,0.3731962740421294,0.3160664230585099,-0.0571298509836195,0.8960884220600128,0.898810005903244,0.2721583843231179,-0.0669041265321935,0.0828175327770451,-0.4770180220188115,1.6763584613800049,0
initial,0,0,momentum_only,0.1,A,0.0776182357221841,0.0776732839643955,5.5048242211350185e-05,0.9897437653541564,0.989737453699112,-0.000631165504461,5.373839761583069e-05,0.004610526952169,0.0677798040114733,0.0,0
initial,0,0,momentum_only,0.1,B,0.3731962740421294,0.3740947827696799,0.0008985087275504,0.8960884220600128,0.8960819823741912,-0.000643968582159,0.0008976584908776,0.004610526952169,0.1149647630145606,0.0,0
initial,0,0,momentum_only,0.25,A,0.0776182357221841,0.0777604892849922,0.000142253562808,0.9897437653541564,0.9897271549701692,-0.0016610383987369,0.000134345991689,0.0115263171822567,0.0677798039909212,0.0,0
initial,0,0,momentum_only,0.25,B,0.3731962740421294,0.3754453539848327,0.0022490799427032,0.8960884220600128,0.8960714621543884,-0.0016959905624447,0.0022441461881766,0.0115263171822567,0.1149647629922704,0.0,0
initial,0,0,momentum_only,0.5,A,0.0776182357221841,0.0779175341129303,0.0002992983907461,0.9897437653541564,0.989708769083023,-0.0034996271133569,0.0002686919833781,0.0230526343645134,0.0677798039909212,0.0,0
initial,0,0,momentum_only,0.5,B,0.3731962740421294,0.3777029544115067,0.0045066803693772,0.8960884220600128,0.8960512290000915,-0.0037193059921336,0.0044882923763533,0.0230526343645134,0.1149647629922704,0.0,0
initial,0,1,A_task,0.1,A,0.0776182357221841,0.0776097234338522,-8.512288331971596e-06,0.9897437653541564,0.9897420644760132,-0.000170087814344,-9.671963739131257e-06,0.0050221993790625,-0.0111991966630677,0.1006076782941818,0
initial,0,1,A_task,0.1,B,0.3731962740421294,0.373512151837349,0.0003158777952195,0.8960884220600128,0.8961470866203307,0.0058664560317889,0.0003165241509579,0.0050221993790625,0.0372149185549217,0.1006076782941818,0
initial,0,1,A_task,0.25,A,0.0776182357221841,0.0776011541485786,-1.7081573605512435e-05,0.9897437653541564,0.9897385160923003,-0.0005249261856077,-2.4179909065838143e-05,0.0125554982331686,-0.0111991967237785,0.1006076782941818,0
