target	mixture_size	donor_codes	donors	prefix
election2020	1	cp	covid_political	labmix500_k1_cp
facebook_page_reference	1	cp	covid_political	labmix500_k1_cp
ukr_rus_suspended	1	cp	covid_political	labmix500_k1_cp
twibot20	1	cp	covid_political	labmix500_k1_cp
covid_political	1	elec	election2020	labmix500_k1_elec
facebook_page_reference	1	elec	election2020	labmix500_k1_elec
ukr_rus_suspended	1	elec	election2020	labmix500_k1_elec
twibot20	1	elec	election2020	labmix500_k1_elec
covid_political	1	fb	facebook_page_reference	labmix500_k1_fb
election2020	1	fb	facebook_page_reference	labmix500_k1_fb
ukr_rus_suspended	1	fb	facebook_page_reference	labmix500_k1_fb
twibot20	1	fb	facebook_page_reference	labmix500_k1_fb
covid_political	1	susp	ukr_rus_suspended	labmix500_k1_susp
election2020	1	susp	ukr_rus_suspended	labmix500_k1_susp
facebook_page_reference	1	susp	ukr_rus_suspended	labmix500_k1_susp
twibot20	1	susp	ukr_rus_suspended	labmix500_k1_susp
covid_political	1	bot	twibot20	labmix500_k1_bot
election2020	1	bot	twibot20	labmix500_k1_bot
facebook_page_reference	1	bot	twibot20	labmix500_k1_bot
ukr_rus_suspended	1	bot	twibot20	labmix500_k1_bot
facebook_page_reference	2	cp,elec	covid_political,election2020	labmix500_k2_cp-elec
ukr_rus_suspended	2	cp,elec	covid_political,election2020	labmix500_k2_cp-elec
twibot20	2	cp,elec	covid_political,election2020	labmix500_k2_cp-elec
election2020	2	cp,fb	covid_political,facebook_page_reference	labmix500_k2_cp-fb
ukr_rus_suspended	2	cp,fb	covid_political,facebook_page_reference	labmix500_k2_cp-fb
twibot20	2	cp,fb	covid_political,facebook_page_reference	labmix500_k2_cp-fb
election2020	2	cp,susp	covid_political,ukr_rus_suspended	labmix500_k2_cp-susp
facebook_page_reference	2	cp,susp	covid_political,ukr_rus_suspended	labmix500_k2_cp-susp
twibot20	2	cp,susp	covid_political,ukr_rus_suspended	labmix500_k2_cp-susp
election2020	2	cp,bot	covid_political,twibot20	labmix500_k2_cp-bot
facebook_page_reference	2	cp,bot	covid_political,twibot20	labmix500_k2_cp-bot
ukr_rus_suspended	2	cp,bot	covid_political,twibot20	labmix500_k2_cp-bot
covid_political	2	elec,fb	election2020,facebook_page_reference	labmix500_k2_elec-fb
ukr_rus_suspended	2	elec,fb	election2020,facebook_page_reference	labmix500_k2_elec-fb
twibot20	2	elec,fb	election2020,facebook_page_reference	labmix500_k2_elec-fb
covid_political	2	elec,susp	election2020,ukr_rus_suspended	labmix500_k2_elec-susp
facebook_page_reference	2	elec,susp	election2020,ukr_rus_suspended	labmix500_k2_elec-susp
twibot20	2	elec,susp	election2020,ukr_rus_suspended	labmix500_k2_elec-susp
covid_political	2	elec,bot	election2020,twibot20	labmix500_k2_elec-bot
facebook_page_reference	2	elec,bot	election2020,twibot20	labmix500_k2_elec-bot
ukr_rus_suspended	2	elec,bot	election2020,twibot20	labmix500_k2_elec-bot
covid_political	2	fb,susp	facebook_page_reference,ukr_rus_suspended	labmix500_k2_fb-susp
election2020	2	fb,susp	facebook_page_reference,ukr_rus_suspended	labmix500_k2_fb-susp
twibot20	2	fb,susp	facebook_page_reference,ukr_rus_suspended	labmix500_k2_fb-susp
covid_political	2	fb,bot	facebook_page_reference,twibot20	labmix500_k2_fb-bot
election2020	2	fb,bot	facebook_page_reference,twibot20	labmix500_k2_fb-bot
ukr_rus_suspended	2	fb,bot	facebook_page_reference,twibot20	labmix500_k2_fb-bot
covid_political	2	susp,bot	ukr_rus_suspended,twibot20	labmix500_k2_susp-bot
election2020	2	susp,bot	ukr_rus_suspended,twibot20	labmix500_k2_susp-bot
facebook_page_reference	2	susp,bot	ukr_rus_suspended,twibot20	labmix500_k2_susp-bot
ukr_rus_suspended	3	cp,elec,fb	covid_political,election2020,facebook_page_reference	labmix500_k3_cp-elec-fb
twibot20	3	cp,elec,fb	covid_political,election2020,facebook_page_reference	labmix500_k3_cp-elec-fb
facebook_page_reference	3	cp,elec,susp	covid_political,election2020,ukr_rus_suspended	labmix500_k3_cp-elec-susp
twibot20	3	cp,elec,susp	covid_political,election2020,ukr_rus_suspended	labmix500_k3_cp-elec-susp
facebook_page_reference	3	cp,elec,bot	covid_political,election2020,twibot20	labmix500_k3_cp-elec-bot
ukr_rus_suspended	3	cp,elec,bot	covid_political,election2020,twibot20	labmix500_k3_cp-elec-bot
election2020	3	cp,fb,susp	covid_political,facebook_page_reference,ukr_rus_suspended	labmix500_k3_cp-fb-susp
twibot20	3	cp,fb,susp	covid_political,facebook_page_reference,ukr_rus_suspended	labmix500_k3_cp-fb-susp
election2020	3	cp,fb,bot	covid_political,facebook_page_reference,twibot20	labmix500_k3_cp-fb-bot
ukr_rus_suspended	3	cp,fb,bot	covid_political,facebook_page_reference,twibot20	labmix500_k3_cp-fb-bot
election2020	3	cp,susp,bot	covid_political,ukr_rus_suspended,twibot20	labmix500_k3_cp-susp-bot
facebook_page_reference	3	cp,susp,bot	covid_political,ukr_rus_suspended,twibot20	labmix500_k3_cp-susp-bot
covid_political	3	elec,fb,susp	election2020,facebook_page_reference,ukr_rus_suspended	labmix500_k3_elec-fb-susp
twibot20	3	elec,fb,susp	election2020,facebook_page_reference,ukr_rus_suspended	labmix500_k3_elec-fb-susp
covid_political	3	elec,fb,bot	election2020,facebook_page_reference,twibot20	labmix500_k3_elec-fb-bot
ukr_rus_suspended	3	elec,fb,bot	election2020,facebook_page_reference,twibot20	labmix500_k3_elec-fb-bot
covid_political	3	elec,susp,bot	election2020,ukr_rus_suspended,twibot20	labmix500_k3_elec-susp-bot
facebook_page_reference	3	elec,susp,bot	election2020,ukr_rus_suspended,twibot20	labmix500_k3_elec-susp-bot
covid_political	3	fb,susp,bot	facebook_page_reference,ukr_rus_suspended,twibot20	labmix500_k3_fb-susp-bot
election2020	3	fb,susp,bot	facebook_page_reference,ukr_rus_suspended,twibot20	labmix500_k3_fb-susp-bot
twibot20	4	cp,elec,fb,susp	covid_political,election2020,facebook_page_reference,ukr_rus_suspended	labmix500_k4_cp-elec-fb-susp
ukr_rus_suspended	4	cp,elec,fb,bot	covid_political,election2020,facebook_page_reference,twibot20	labmix500_k4_cp-elec-fb-bot
facebook_page_reference	4	cp,elec,susp,bot	covid_political,election2020,ukr_rus_suspended,twibot20	labmix500_k4_cp-elec-susp-bot
election2020	4	cp,fb,susp,bot	covid_political,facebook_page_reference,ukr_rus_suspended,twibot20	labmix500_k4_cp-fb-susp-bot
covid_political	4	elec,fb,susp,bot	election2020,facebook_page_reference,ukr_rus_suspended,twibot20	labmix500_k4_elec-fb-susp-bot
