mixture_size	donor_codes	donors	heldout_targets	prefix
1	cp	covid_political	election2020,facebook_page_reference,ukr_rus_suspended,twibot20	labmix500_k1_cp
1	elec	election2020	covid_political,facebook_page_reference,ukr_rus_suspended,twibot20	labmix500_k1_elec
1	fb	facebook_page_reference	covid_political,election2020,ukr_rus_suspended,twibot20	labmix500_k1_fb
1	susp	ukr_rus_suspended	covid_political,election2020,facebook_page_reference,twibot20	labmix500_k1_susp
1	bot	twibot20	covid_political,election2020,facebook_page_reference,ukr_rus_suspended	labmix500_k1_bot
2	cp,elec	covid_political,election2020	facebook_page_reference,ukr_rus_suspended,twibot20	labmix500_k2_cp-elec
2	cp,fb	covid_political,facebook_page_reference	election2020,ukr_rus_suspended,twibot20	labmix500_k2_cp-fb
2	cp,susp	covid_political,ukr_rus_suspended	election2020,facebook_page_reference,twibot20	labmix500_k2_cp-susp
2	cp,bot	covid_political,twibot20	election2020,facebook_page_reference,ukr_rus_suspended	labmix500_k2_cp-bot
2	elec,fb	election2020,facebook_page_reference	covid_political,ukr_rus_suspended,twibot20	labmix500_k2_elec-fb
2	elec,susp	election2020,ukr_rus_suspended	covid_political,facebook_page_reference,twibot20	labmix500_k2_elec-susp
2	elec,bot	election2020,twibot20	covid_political,facebook_page_reference,ukr_rus_suspended	labmix500_k2_elec-bot
2	fb,susp	facebook_page_reference,ukr_rus_suspended	covid_political,election2020,twibot20	labmix500_k2_fb-susp
2	fb,bot	facebook_page_reference,twibot20	covid_political,election2020,ukr_rus_suspended	labmix500_k2_fb-bot
2	susp,bot	ukr_rus_suspended,twibot20	covid_political,election2020,facebook_page_reference	labmix500_k2_susp-bot
3	cp,elec,fb	covid_political,election2020,facebook_page_reference	ukr_rus_suspended,twibot20	labmix500_k3_cp-elec-fb
3	cp,elec,susp	covid_political,election2020,ukr_rus_suspended	facebook_page_reference,twibot20	labmix500_k3_cp-elec-susp
3	cp,elec,bot	covid_political,election2020,twibot20	facebook_page_reference,ukr_rus_suspended	labmix500_k3_cp-elec-bot
3	cp,fb,susp	covid_political,facebook_page_reference,ukr_rus_suspended	election2020,twibot20	labmix500_k3_cp-fb-susp
3	cp,fb,bot	covid_political,facebook_page_reference,twibot20	election2020,ukr_rus_suspended	labmix500_k3_cp-fb-bot
3	cp,susp,bot	covid_political,ukr_rus_suspended,twibot20	election2020,facebook_page_reference	labmix500_k3_cp-susp-bot
3	elec,fb,susp	election2020,facebook_page_reference,ukr_rus_suspended	covid_political,twibot20	labmix500_k3_elec-fb-susp
3	elec,fb,bot	election2020,facebook_page_reference,twibot20	covid_political,ukr_rus_suspended	labmix500_k3_elec-fb-bot
3	elec,susp,bot	election2020,ukr_rus_suspended,twibot20	covid_political,facebook_page_reference	labmix500_k3_elec-susp-bot
3	fb,susp,bot	facebook_page_reference,ukr_rus_suspended,twibot20	covid_political,election2020	labmix500_k3_fb-susp-bot
4	cp,elec,fb,susp	covid_political,election2020,facebook_page_reference,ukr_rus_suspended	twibot20	labmix500_k4_cp-elec-fb-susp
4	cp,elec,fb,bot	covid_political,election2020,facebook_page_reference,twibot20	ukr_rus_suspended	labmix500_k4_cp-elec-fb-bot
4	cp,elec,susp,bot	covid_political,election2020,ukr_rus_suspended,twibot20	facebook_page_reference	labmix500_k4_cp-elec-susp-bot
4	cp,fb,susp,bot	covid_political,facebook_page_reference,ukr_rus_suspended,twibot20	election2020	labmix500_k4_cp-fb-susp-bot
4	elec,fb,susp,bot	election2020,facebook_page_reference,ukr_rus_suspended,twibot20	covid_political	labmix500_k4_elec-fb-susp-bot
