order	rung	added	n_sources	sources	status	primary_order	primary_rung	model_prefix	config
A	1	ukr_rus	1	ukr_rus	train	A	1	nm_ladder_h2_ordA_r1	train_ordA_r1.yaml
A	2	covid	2	ukr_rus,covid	train	A	2	nm_ladder_h2_ordA_r2	train_ordA_r2.yaml
A	3	midterm	3	ukr_rus,covid,midterm	train	A	3	nm_ladder_h2_ordA_r3	train_ordA_r3.yaml
A	4	covid_political	4	ukr_rus,covid,midterm,covid_political	train	A	4	nm_ladder_h2_ordA_r4	train_ordA_r4.yaml
A	5	election2020	5	ukr_rus,covid,midterm,covid_political,election2020	train	A	5	nm_ladder_h2_ordA_r5	train_ordA_r5.yaml
A	6	ukr_rus_suspended	6	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended	train	A	6	nm_ladder_h2_ordA_r6	train_ordA_r6.yaml
A	7	twibot20	7	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20	train	A	7	nm_ladder_h2_ordA_r7	train_ordA_r7.yaml
A	8	cp_hk	8	ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk	train	A	8	nm_ladder_h2_ordA_r8	train_ordA_r8.yaml
B	1	covid	1	covid	train	B	1	nm_ladder_h2_ordB_r1	train_ordB_r1.yaml
B	2	ukr_rus	2	covid,ukr_rus	reuse_h2	A	2	nm_ladder_h2_ordA_r2	train_ordA_r2.yaml
B	3	twibot20	3	covid,ukr_rus,twibot20	train	B	3	nm_ladder_h2_ordB_r3	train_ordB_r3.yaml
B	4	midterm	4	covid,ukr_rus,twibot20,midterm	train	B	4	nm_ladder_h2_ordB_r4	train_ordB_r4.yaml
B	5	ukr_rus_suspended	5	covid,ukr_rus,twibot20,midterm,ukr_rus_suspended	train	B	5	nm_ladder_h2_ordB_r5	train_ordB_r5.yaml
B	6	cp_hk	6	covid,ukr_rus,twibot20,midterm,ukr_rus_suspended,cp_hk	train	B	6	nm_ladder_h2_ordB_r6	train_ordB_r6.yaml
B	7	covid_political	7	covid,ukr_rus,twibot20,midterm,ukr_rus_suspended,cp_hk,covid_political	train	B	7	nm_ladder_h2_ordB_r7	train_ordB_r7.yaml
B	8	election2020	8	covid,ukr_rus,twibot20,midterm,ukr_rus_suspended,cp_hk,covid_political,election2020	reuse_h2	A	8	nm_ladder_h2_ordA_r8	train_ordA_r8.yaml
C	1	election2020	1	election2020	train	C	1	nm_ladder_h2_ordC_r1	train_ordC_r1.yaml
C	2	covid_political	2	election2020,covid_political	train	C	2	nm_ladder_h2_ordC_r2	train_ordC_r2.yaml
C	3	cp_hk	3	election2020,covid_political,cp_hk	train	C	3	nm_ladder_h2_ordC_r3	train_ordC_r3.yaml
C	4	ukr_rus_suspended	4	election2020,covid_political,cp_hk,ukr_rus_suspended	train	C	4	nm_ladder_h2_ordC_r4	train_ordC_r4.yaml
C	5	midterm	5	election2020,covid_political,cp_hk,ukr_rus_suspended,midterm	train	C	5	nm_ladder_h2_ordC_r5	train_ordC_r5.yaml
C	6	twibot20	6	election2020,covid_political,cp_hk,ukr_rus_suspended,midterm,twibot20	train	C	6	nm_ladder_h2_ordC_r6	train_ordC_r6.yaml
C	7	ukr_rus	7	election2020,covid_political,cp_hk,ukr_rus_suspended,midterm,twibot20,ukr_rus	train	C	7	nm_ladder_h2_ordC_r7	train_ordC_r7.yaml
C	8	covid	8	election2020,covid_political,cp_hk,ukr_rus_suspended,midterm,twibot20,ukr_rus,covid	reuse_h2	A	8	nm_ladder_h2_ordA_r8	train_ordA_r8.yaml
