model_id	seed	exposure	block_size	config
loo_ukr_uniform_k1_s0	0	uniform	1	configs/loo_ukr_uniform_k1_s0.yaml
loo_ukr_uniform_k16_s0	0	uniform	16	configs/loo_ukr_uniform_k16_s0.yaml
loo_ukr_uniform_kblocked_s0	0	uniform	blocked	configs/loo_ukr_uniform_kblocked_s0.yaml
loo_ukr_proportional_k1_s0	0	proportional	1	configs/loo_ukr_proportional_k1_s0.yaml
loo_ukr_proportional_k16_s0	0	proportional	16	configs/loo_ukr_proportional_k16_s0.yaml
loo_ukr_proportional_kblocked_s0	0	proportional	blocked	configs/loo_ukr_proportional_kblocked_s0.yaml
loo_ukr_uniform_k1_s1	1	uniform	1	configs/loo_ukr_uniform_k1_s1.yaml
loo_ukr_uniform_k16_s1	1	uniform	16	configs/loo_ukr_uniform_k16_s1.yaml
loo_ukr_uniform_kblocked_s1	1	uniform	blocked	configs/loo_ukr_uniform_kblocked_s1.yaml
loo_ukr_proportional_k1_s1	1	proportional	1	configs/loo_ukr_proportional_k1_s1.yaml
loo_ukr_proportional_k16_s1	1	proportional	16	configs/loo_ukr_proportional_k16_s1.yaml
loo_ukr_proportional_kblocked_s1	1	proportional	blocked	configs/loo_ukr_proportional_kblocked_s1.yaml
loo_ukr_uniform_k1_s2	2	uniform	1	configs/loo_ukr_uniform_k1_s2.yaml
loo_ukr_uniform_k16_s2	2	uniform	16	configs/loo_ukr_uniform_k16_s2.yaml
loo_ukr_uniform_kblocked_s2	2	uniform	blocked	configs/loo_ukr_uniform_kblocked_s2.yaml
loo_ukr_proportional_k1_s2	2	proportional	1	configs/loo_ukr_proportional_k1_s2.yaml
loo_ukr_proportional_k16_s2	2	proportional	16	configs/loo_ukr_proportional_k16_s2.yaml
loo_ukr_proportional_kblocked_s2	2	proportional	blocked	configs/loo_ukr_proportional_kblocked_s2.yaml
