train_task,eval_task,metric,value,run_dir
scratch,nm,accuracy,0.8550520833,adapt_covid_task_transfer_scratch_to_nm_01_07_2026_18_57_32
scratch,nm,f1,0.8550479335,adapt_covid_task_transfer_scratch_to_nm_01_07_2026_18_57_32
scratch,nm,roc_auc,0.9640539815,adapt_covid_task_transfer_scratch_to_nm_01_07_2026_18_57_32
scratch,nm,loss,0.3654893041,adapt_covid_task_transfer_scratch_to_nm_01_07_2026_18_57_32
scratch,nm,aux_loss,0,adapt_covid_task_transfer_scratch_to_nm_01_07_2026_18_57_32
scratch,nm,primary,0.9640539815,adapt_covid_task_transfer_scratch_to_nm_01_07_2026_18_57_32
scratch,cl,accuracy,0.934765625,adapt_covid_task_transfer_scratch_to_cl_01_07_2026_18_57_32
scratch,cl,f1,0.9348441401,adapt_covid_task_transfer_scratch_to_cl_01_07_2026_18_57_32
scratch,cl,roc_auc,0.999429082,adapt_covid_task_transfer_scratch_to_cl_01_07_2026_18_57_32
scratch,cl,loss,0.1286952049,adapt_covid_task_transfer_scratch_to_cl_01_07_2026_18_57_32
scratch,cl,aux_loss,0,adapt_covid_task_transfer_scratch_to_cl_01_07_2026_18_57_32
scratch,cl,primary,0.999429082,adapt_covid_task_transfer_scratch_to_cl_01_07_2026_18_57_32
scratch,fp,score,-0.0005726837661,adapt_covid_task_transfer_scratch_to_fp_01_07_2026_18_57_32
scratch,fp,score_std,3.890712277e-05,adapt_covid_task_transfer_scratch_to_fp_01_07_2026_18_57_32
scratch,fp,loss,0.0005726837553,adapt_covid_task_transfer_scratch_to_fp_01_07_2026_18_57_32
scratch,fp,aux_loss,0,adapt_covid_task_transfer_scratch_to_fp_01_07_2026_18_57_32
scratch,fp,primary,-0.0005726837661,adapt_covid_task_transfer_scratch_to_fp_01_07_2026_18_57_32
nm,nm,accuracy,0.9200260417,adapt_covid_task_transfer_nm_to_nm_01_07_2026_19_01_57
nm,nm,f1,0.9200268928,adapt_covid_task_transfer_nm_to_nm_01_07_2026_19_01_57
nm,nm,roc_auc,0.988651502,adapt_covid_task_transfer_nm_to_nm_01_07_2026_19_01_57
nm,nm,loss,0.2008339316,adapt_covid_task_transfer_nm_to_nm_01_07_2026_19_01_57
nm,nm,aux_loss,0,adapt_covid_task_transfer_nm_to_nm_01_07_2026_19_01_57
nm,nm,primary,0.988651502,adapt_covid_task_transfer_nm_to_nm_01_07_2026_19_01_57
nm,cl,accuracy,0.936171875,adapt_covid_task_transfer_nm_to_cl_01_07_2026_19_01_57
nm,cl,f1,0.9362449842,adapt_covid_task_transfer_nm_to_cl_01_07_2026_19_01_57
nm,cl,roc_auc,0.9994895272,adapt_covid_task_transfer_nm_to_cl_01_07_2026_19_01_57
nm,cl,loss,0.1117399931,adapt_covid_task_transfer_nm_to_cl_01_07_2026_19_01_57
nm,cl,aux_loss,0,adapt_covid_task_transfer_nm_to_cl_01_07_2026_19_01_57
nm,cl,primary,0.9994895272,adapt_covid_task_transfer_nm_to_cl_01_07_2026_19_01_57
nm,fp,score,-0.0005935336082,adapt_covid_task_transfer_nm_to_fp_01_07_2026_19_01_57
nm,fp,score_std,3.839205146e-05,adapt_covid_task_transfer_nm_to_fp_01_07_2026_19_01_57
nm,fp,loss,0.000593533623,adapt_covid_task_transfer_nm_to_fp_01_07_2026_19_01_57
nm,fp,aux_loss,0,adapt_covid_task_transfer_nm_to_fp_01_07_2026_19_01_57
nm,fp,primary,-0.0005935336082,adapt_covid_task_transfer_nm_to_fp_01_07_2026_19_01_57
cl,nm,accuracy,0.87203125,adapt_covid_task_transfer_cl_to_nm_01_07_2026_19_06_10
cl,nm,f1,0.8720320722,adapt_covid_task_transfer_cl_to_nm_01_07_2026_19_06_10
cl,nm,roc_auc,0.9721008301,adapt_covid_task_transfer_cl_to_nm_01_07_2026_19_06_10
cl,nm,loss,0.3182409704,adapt_covid_task_transfer_cl_to_nm_01_07_2026_19_06_10
cl,nm,aux_loss,0,adapt_covid_task_transfer_cl_to_nm_01_07_2026_19_06_10
cl,nm,primary,0.9721008301,adapt_covid_task_transfer_cl_to_nm_01_07_2026_19_06_10
cl,cl,accuracy,0.9366015625,adapt_covid_task_transfer_cl_to_cl_01_07_2026_19_06_10
cl,cl,f1,0.9366815179,adapt_covid_task_transfer_cl_to_cl_01_07_2026_19_06_10
cl,cl,roc_auc,0.999497522,adapt_covid_task_transfer_cl_to_cl_01_07_2026_19_06_10
cl,cl,loss,0.1079407558,adapt_covid_task_transfer_cl_to_cl_01_07_2026_19_06_10
cl,cl,aux_loss,0,adapt_covid_task_transfer_cl_to_cl_01_07_2026_19_06_10
cl,cl,primary,0.999497522,adapt_covid_task_transfer_cl_to_cl_01_07_2026_19_06_10
cl,fp,score,-0.0005920600539,adapt_covid_task_transfer_cl_to_fp_01_07_2026_19_06_10
cl,fp,score_std,3.769026925e-05,adapt_covid_task_transfer_cl_to_fp_01_07_2026_19_06_10
cl,fp,loss,0.0005920600379,adapt_covid_task_transfer_cl_to_fp_01_07_2026_19_06_10
cl,fp,aux_loss,0,adapt_covid_task_transfer_cl_to_fp_01_07_2026_19_06_10
cl,fp,primary,-0.0005920600539,adapt_covid_task_transfer_cl_to_fp_01_07_2026_19_06_10
fp,nm,accuracy,0.866640625,adapt_covid_task_transfer_fp_to_nm_01_07_2026_19_10_22
fp,nm,f1,0.866653226,adapt_covid_task_transfer_fp_to_nm_01_07_2026_19_10_22
fp,nm,roc_auc,0.9709596436,adapt_covid_task_transfer_fp_to_nm_01_07_2026_19_10_22
fp,nm,loss,0.3252436817,adapt_covid_task_transfer_fp_to_nm_01_07_2026_19_10_22
fp,nm,aux_loss,0,adapt_covid_task_transfer_fp_to_nm_01_07_2026_19_10_22
fp,nm,primary,0.9709596436,adapt_covid_task_transfer_fp_to_nm_01_07_2026_19_10_22
fp,cl,accuracy,0.9337109375,adapt_covid_task_transfer_fp_to_cl_01_07_2026_19_10_21
fp,cl,f1,0.9337704079,adapt_covid_task_transfer_fp_to_cl_01_07_2026_19_10_21
fp,cl,roc_auc,0.999384777,adapt_covid_task_transfer_fp_to_cl_01_07_2026_19_10_21
fp,cl,loss,0.1363578141,adapt_covid_task_transfer_fp_to_cl_01_07_2026_19_10_21
fp,cl,aux_loss,0,adapt_covid_task_transfer_fp_to_cl_01_07_2026_19_10_21
fp,cl,primary,0.999384777,adapt_covid_task_transfer_fp_to_cl_01_07_2026_19_10_21
fp,fp,score,-0.0005650619205,adapt_covid_task_transfer_fp_to_fp_01_07_2026_19_10_22
fp,fp,score_std,4.064886959e-05,adapt_covid_task_transfer_fp_to_fp_01_07_2026_19_10_22
fp,fp,loss,0.0005650619278,adapt_covid_task_transfer_fp_to_fp_01_07_2026_19_10_22
fp,fp,aux_loss,0,adapt_covid_task_transfer_fp_to_fp_01_07_2026_19_10_22
fp,fp,primary,-0.0005650619205,adapt_covid_task_transfer_fp_to_fp_01_07_2026_19_10_22
